"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2003",170.5025,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2004",111.3946,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2005",124.8079,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2006",118.9004,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2007",122.5556,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2008",141.967,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2009",125.1098,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2010",124.4317,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2011",126.941,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2012",121.3075,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2013",119.8799,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2014",118.4998,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2015",119.6313,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2016",110.9746,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2017",105.7081,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2018",102.8586,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2019",98.93478,
"MEX","BANKLEVERAGE","TOT","PC_NVA","A","2020",98.02003,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1995",19.49,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1996",19.82064,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1997",15.3127,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1998",18.01787,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1999",13.62333,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2000",13.21254,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2001",13.45036,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2002",14.32126,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2003",13.77979,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2004",12.86395,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2005",12.64183,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2006",11.92598,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2007",16.35229,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2008",27.60903,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2009",18.73809,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2010",19.10091,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2011",25.78783,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2012",21.7904,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2013",19.02863,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2014",20.57559,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2015",19.13664,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2016",17.30323,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2017",17.6503,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2018",21.65536,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2019",19.25398,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2020",24.27141,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1995",11.74208,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1996",9.06252,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1997",9.017883,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1998",8.896352,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1999",8.995912,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2000",8.524417,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2001",6.668347,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2002",8.438833,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2003",7.303699,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2004",7.769576,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2005",7.698458,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2006",7.758839,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2007",9.341153,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2008",17.64679,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2009",11.05696,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2010",9.769064,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2011",11.66572,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2012",10.12977,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2013",8.398548,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2014",8.343622,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2015",8.788183,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2016",8.524267,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2017",9.383559,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2018",12.51064,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2019",13.17583,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","2020",15.18384,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","1995",14.68234,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","1996",14.46372,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","1997",11.72711,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","1998",11.16257,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","1999",11.94035,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2000",14.82822,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2001",17.10028,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2002",19.68134,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2003",19.55344,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2004",18.06516,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2005",17.79735,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2006",20.33307,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2007",25.58795,
"NOR","BANKLEVERAGE","TOT","PC_NVA","A","2008",32.79182,
