LOCATION,TIME,VALUE
AUS,1970-02,101.2701
AUS,1970-03,100.9276
AUS,1970-04,100.4837
AUS,1970-05,100.1568
AUS,1970-06,100.114
AUS,1970-07,100.2436
AUS,1970-08,100.4028
AUS,1970-09,100.4924
AUS,1970-10,100.5027
AUS,1970-11,100.4247
AUS,1970-12,100.2402
AUS,1971-01,100.0009
AUS,1971-02,99.75813
AUS,1971-03,99.54871
AUS,1971-04,99.38313
AUS,1971-05,99.27698
AUS,1971-06,99.23826
AUS,1971-07,99.19541
AUS,1971-08,99.04969
AUS,1971-09,98.73167
AUS,1971-10,98.36063
AUS,1971-11,98.1086
AUS,1971-12,98.11738
AUS,1972-01,98.29662
AUS,1972-02,98.55164
AUS,1972-03,98.84093
AUS,1972-04,99.1577
AUS,1972-05,99.52528
AUS,1972-06,99.96506
AUS,1972-07,100.4136
AUS,1972-08,100.7769
AUS,1972-09,100.976
AUS,1972-10,101.0777
AUS,1972-11,101.1623
AUS,1972-12,101.2888
AUS,1973-01,101.4771
AUS,1973-02,101.7584
AUS,1973-03,102.1635
AUS,1973-04,102.6186
AUS,1973-05,103.0276
AUS,1973-06,103.3052
AUS,1973-07,103.4553
AUS,1973-08,103.4558
AUS,1973-09,103.2704
AUS,1973-10,103.0106
AUS,1973-11,102.7977
AUS,1973-12,102.6996
AUS,1974-01,102.621
AUS,1974-02,102.3975
AUS,1974-03,101.8709
AUS,1974-04,101.1083
AUS,1974-05,100.1528
AUS,1974-06,99.00842
AUS,1974-07,97.81893
AUS,1974-08,96.77232
AUS,1974-09,96.05005
AUS,1974-10,95.63358
AUS,1974-11,95.58346
AUS,1974-12,96.01263
AUS,1975-01,96.69331
AUS,1975-02,97.39582
AUS,1975-03,97.97578
AUS,1975-04,98.43963
AUS,1975-05,98.79694
AUS,1975-06,99.02897
AUS,1975-07,99.16363
AUS,1975-08,99.19859
AUS,1975-09,99.12173
AUS,1975-10,99.03119
AUS,1975-11,99.05593
AUS,1975-12,99.28983
AUS,1976-01,99.61053
AUS,1976-02,99.85555
AUS,1976-03,99.91147
AUS,1976-04,99.87885
AUS,1976-05,99.89294
AUS,1976-06,100.0328
AUS,1976-07,100.1837
AUS,1976-08,100.1626
AUS,1976-09,99.83119
AUS,1976-10,99.38303
AUS,1976-11,99.0838
AUS,1976-12,99.12946
AUS,1977-01,99.35503
AUS,1977-02,99.53785
AUS,1977-03,99.52092
AUS,1977-04,99.37891
AUS,1977-05,99.22466
AUS,1977-06,99.14079
AUS,1977-07,99.12351
AUS,1977-08,99.16691
AUS,1977-09,99.28065
AUS,1977-10,99.44703
AUS,1977-11,99.66194
AUS,1977-12,99.92319
AUS,1978-01,100.1703
AUS,1978-02,100.3156
AUS,1978-03,100.29
AUS,1978-04,100.1898
AUS,1978-05,100.1373
AUS,1978-06,100.2149
AUS,1978-07,100.3531
AUS,1978-08,100.4526
AUS,1978-09,100.4468
AUS,1978-10,100.4028
AUS,1978-11,100.4212
AUS,1978-12,100.5743
AUS,1979-01,100.7814
AUS,1979-02,100.9247
AUS,1979-03,100.9115
AUS,1979-04,100.7999
AUS,1979-05,100.6578
AUS,1979-06,100.5215
AUS,1979-07,100.3836
AUS,1979-08,100.2203
AUS,1979-09,100.0209
AUS,1979-10,99.84209
AUS,1979-11,99.77412
AUS,1979-12,99.88674
AUS,1980-01,100.064
AUS,1980-02,100.155
AUS,1980-03,100.0593
AUS,1980-04,99.89975
AUS,1980-05,99.85414
AUS,1980-06,100.0507
AUS,1980-07,100.3501
AUS,1980-08,100.5598
AUS,1980-09,100.5463
AUS,1980-10,100.4363
AUS,1980-11,100.4121
AUS,1980-12,100.604
