LOCATION,TIME,VALUE
AUS,1970-02,100.6584
AUS,1970-03,100.3489
AUS,1970-04,100.0339
AUS,1970-05,99.77695
AUS,1970-06,99.60847
AUS,1970-07,99.52447
AUS,1970-08,99.50764
AUS,1970-09,99.52616
AUS,1970-10,99.54359
AUS,1970-11,99.52233
AUS,1970-12,99.44912
AUS,1971-01,99.33573
AUS,1971-02,99.20169
AUS,1971-03,99.07226
AUS,1971-04,98.95399
AUS,1971-05,98.83742
AUS,1971-06,98.72536
AUS,1971-07,98.60312
AUS,1971-08,98.47168
AUS,1971-09,98.35517
AUS,1971-10,98.28061
AUS,1971-11,98.28537
AUS,1971-12,98.37569
AUS,1972-01,98.56115
AUS,1972-02,98.85445
AUS,1972-03,99.24957
AUS,1972-04,99.70984
AUS,1972-05,100.2035
AUS,1972-06,100.6943
AUS,1972-07,101.1755
AUS,1972-08,101.6651
AUS,1972-09,102.1357
AUS,1972-10,102.5618
AUS,1972-11,102.9433
AUS,1972-12,103.2572
AUS,1973-01,103.504
AUS,1973-02,103.6732
AUS,1973-03,103.7933
AUS,1973-04,103.8464
AUS,1973-05,103.8333
AUS,1973-06,103.745
AUS,1973-07,103.5823
AUS,1973-08,103.338
AUS,1973-09,102.9981
AUS,1973-10,102.6053
AUS,1973-11,102.1844
AUS,1973-12,101.7569
AUS,1974-01,101.3297
AUS,1974-02,100.8569
AUS,1974-03,100.3036
AUS,1974-04,99.65948
AUS,1974-05,98.9268
AUS,1974-06,98.13834
AUS,1974-07,97.37997
AUS,1974-08,96.73806
AUS,1974-09,96.29848
AUS,1974-10,96.09084
AUS,1974-11,96.11411
AUS,1974-12,96.33527
AUS,1975-01,96.6963
AUS,1975-02,97.13155
AUS,1975-03,97.57482
AUS,1975-04,97.98245
AUS,1975-05,98.32728
AUS,1975-06,98.59725
AUS,1975-07,98.78826
AUS,1975-08,98.93308
AUS,1975-09,99.0603
AUS,1975-10,99.20345
AUS,1975-11,99.36985
AUS,1975-12,99.5742
AUS,1976-01,99.79311
AUS,1976-02,100.012
AUS,1976-03,100.2029
AUS,1976-04,100.3512
AUS,1976-05,100.4524
AUS,1976-06,100.5288
AUS,1976-07,100.5618
AUS,1976-08,100.5347
AUS,1976-09,100.4383
AUS,1976-10,100.2621
AUS,1976-11,100.0429
AUS,1976-12,99.81906
AUS,1977-01,99.61139
AUS,1977-02,99.42574
AUS,1977-03,99.27393
AUS,1977-04,99.15894
AUS,1977-05,99.09061
AUS,1977-06,99.07551
AUS,1977-07,99.11847
AUS,1977-08,99.21115
AUS,1977-09,99.33244
AUS,1977-10,99.45827
AUS,1977-11,99.5742
AUS,1977-12,99.65781
AUS,1978-01,99.69795
AUS,1978-02,99.72284
AUS,1978-03,99.74239
AUS,1978-04,99.77399
AUS,1978-05,99.81606
AUS,1978-06,99.87074
AUS,1978-07,99.94235
AUS,1978-08,100.0453
AUS,1978-09,100.1758
AUS,1978-10,100.3163
AUS,1978-11,100.4487
AUS,1978-12,100.5647
AUS,1979-01,100.6623
AUS,1979-02,100.739
AUS,1979-03,100.7964
AUS,1979-04,100.8459
AUS,1979-05,100.9065
AUS,1979-06,100.9758
AUS,1979-07,101.0774
AUS,1979-08,101.2012
AUS,1979-09,101.3394
AUS,1979-10,101.4523
