LOCATION,TIME,VALUE
AUS,1974-09,98.7391
AUS,1974-10,98.79706
AUS,1974-11,98.93679
AUS,1974-12,99.26385
AUS,1975-01,99.87994
AUS,1975-02,100.5559
AUS,1975-03,101.0119
AUS,1975-04,101.0263
AUS,1975-05,100.7639
AUS,1975-06,100.4252
AUS,1975-07,100.1728
AUS,1975-08,100.0218
AUS,1975-09,99.98001
AUS,1975-10,100.0872
AUS,1975-11,100.3446
AUS,1975-12,100.7197
AUS,1976-01,101.0011
AUS,1976-02,100.9837
AUS,1976-03,100.8597
AUS,1976-04,100.7877
AUS,1976-05,100.6802
AUS,1976-06,100.6125
AUS,1976-07,100.5932
AUS,1976-08,100.6325
AUS,1976-09,100.6492
AUS,1976-10,100.5437
AUS,1976-11,100.293
AUS,1976-12,100.1683
AUS,1977-01,100.0896
AUS,1977-02,99.97387
AUS,1977-03,99.92658
AUS,1977-04,100.0206
AUS,1977-05,100.1197
AUS,1977-06,100.1206
AUS,1977-07,100.078
AUS,1977-08,100.2034
AUS,1977-09,100.3481
AUS,1977-10,100.5495
AUS,1977-11,100.8869
AUS,1977-12,101.2795
AUS,1978-01,101.5978
AUS,1978-02,101.7192
AUS,1978-03,101.5456
AUS,1978-04,101.2186
AUS,1978-05,100.8443
AUS,1978-06,100.3727
AUS,1978-07,99.85934
AUS,1978-08,99.489
AUS,1978-09,99.64066
AUS,1978-10,100.0251
AUS,1978-11,100.318
AUS,1978-12,100.5593
AUS,1979-01,100.7489
AUS,1979-02,100.8292
AUS,1979-03,100.7198
AUS,1979-04,100.461
AUS,1979-05,99.87543
AUS,1979-06,99.27447
AUS,1979-07,99.03573
AUS,1979-08,99.19527
AUS,1979-09,99.46218
AUS,1979-10,99.61945
AUS,1979-11,99.70524
AUS,1979-12,99.74358
AUS,1980-01,99.77065
AUS,1980-02,99.79639
AUS,1980-03,99.77753
AUS,1980-04,99.7038
AUS,1980-05,99.72893
AUS,1980-06,99.79606
AUS,1980-07,99.83681
AUS,1980-08,100.0403
AUS,1980-09,100.3642
AUS,1980-10,100.6672
AUS,1980-11,100.8338
AUS,1980-12,101.0314
AUS,1981-01,101.2073
AUS,1981-02,101.2278
