"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","FINCORP","TOT","RT","A","2003",2.508306,
"CHL","FINCORP","TOT","RT","A","2004",2.315281,
"CHL","FINCORP","TOT","RT","A","2005",2.385306,
"CHL","FINCORP","TOT","RT","A","2006",2.145505,
"CHL","FINCORP","TOT","RT","A","2007",2.030795,
"CHL","FINCORP","TOT","RT","A","2008",2.401689,
"CHL","FINCORP","TOT","RT","A","2009",1.998094,
"CHL","FINCORP","TOT","RT","A","2010",1.687796,
"CHL","FINCORP","TOT","RT","A","2011",1.97274,
"CHL","FINCORP","TOT","RT","A","2012",1.996509,
"CHL","FINCORP","TOT","RT","A","2013",2.120979,
"CHL","FINCORP","TOT","RT","A","2014",2.276202,
"CHL","FINCORP","TOT","RT","A","2015",2.446778,
"CHL","FINCORP","TOT","RT","A","2016",2.364505,
"CHL","FINCORP","TOT","RT","A","2017",2.17183,
"CHL","FINCORP","TOT","RT","A","2018",2.230061,
"CHL","FINCORP","TOT","RT","A","2019",2.674638,
"CHL","FINCORP","TOT","RT","A","2020",2.881174,
"IRL","FINCORP","TOT","RT","A","2001",1.550624,
"IRL","FINCORP","TOT","RT","A","2002",1.60105,
"IRL","FINCORP","TOT","RT","A","2003",1.823117,
"IRL","FINCORP","TOT","RT","A","2004",2.014554,
"IRL","FINCORP","TOT","RT","A","2005",2.101994,
"IRL","FINCORP","TOT","RT","A","2006",2.015996,
"IRL","FINCORP","TOT","RT","A","2007",2.086484,
"IRL","FINCORP","TOT","RT","A","2008",3.023373,
"IRL","FINCORP","TOT","RT","A","2009",2.573705,
"IRL","FINCORP","TOT","RT","A","2010",2.071641,
"IRL","FINCORP","TOT","RT","A","2011",1.715093,
"IRL","FINCORP","TOT","RT","A","2012",1.40279,
"IRL","FINCORP","TOT","RT","A","2013",1.264826,
"IRL","FINCORP","TOT","RT","A","2014",1.034371,
"IRL","FINCORP","TOT","RT","A","2015",1.028094,
"IRL","FINCORP","TOT","RT","A","2016",0.8852367,
"IRL","FINCORP","TOT","RT","A","2017",0.7779372,
"IRL","FINCORP","TOT","RT","A","2018",0.8101026,
"IRL","FINCORP","TOT","RT","A","2019",0.7260392,
"IRL","FINCORP","TOT","RT","A","2020",0.7081259,
"TUR","FINCORP","TOT","RT","A","2010",3.123398,
"TUR","FINCORP","TOT","RT","A","2011",4.875911,
"TUR","FINCORP","TOT","RT","A","2012",4.188494,
"TUR","FINCORP","TOT","RT","A","2013",6.116801,
"TUR","FINCORP","TOT","RT","A","2014",5.498024,
"TUR","FINCORP","TOT","RT","A","2015",7.20989,
