LOCATION,TIME,VALUE
AUS,1970,-1.656801803
AUS,1971,-1.627165814
AUS,1972,-2.095081375
AUS,1973,-0.959022096
AUS,1974,-3.598636306
AUS,1975,-4.456864603
AUS,1976,-4.329980465
AUS,1977,-5.231507032
AUS,1978,-4.917963785
AUS,1979,-3.30847951
AUS,1980,-3.487960108
AUS,1981,-3.885355025
AUS,1982,-5.85916266
AUS,1983,-6.241404152
AUS,1984,-5.954616123
AUS,1985,-5.367183964
AUS,1986,-3.69293765
AUS,1987,-1.949150714
AUS,1988,-1.206318163
AUS,1989,-2.338785226
AUS,1990,-3.500685157
AUS,1991,-5.992127063
AUS,1992,-6.336753576
AUS,1993,-4.582549323
AUS,1994,-4.218288669
AUS,1995,-3.013226492
AUS,1996,-1.225153122
AUS,1997,0.184769429
AUS,1998,0.630350896
AUS,1999,1.954597248
AUS,2000,-1.292779433
AUS,2001,-0.743403403
AUS,2002,0.70678247
AUS,2003,0.794190376
AUS,2004,0.927763579
AUS,2005,1.599201151
AUS,2006,1.581618909
AUS,2007,0.655790839
AUS,2008,-3.840716305
AUS,2009,-5.644590585
AUS,2010,-4.561117937
AUS,2011,-4.614869676
AUS,2012,-2.847010063
AUS,2013,-2.783016891
AUS,2014,-2.237299371
AUS,2015,-2.222840197
AUS,2016,-1.581866568
AUS,2017,-1.209910654
AUS,2018,-1.430253804
AUS,2019,-7.142986956
AUS,2020,-9.582633853
CAN,1981,-2.892294996
CAN,1982,-6.898328357
CAN,1983,-7.998034729
CAN,1984,-7.940067448
CAN,1985,-8.757327104
CAN,1986,-7.321648976
CAN,1987,-5.745765545
CAN,1988,-4.510969957
CAN,1989,-4.718283329
CAN,1990,-5.911422126
CAN,1991,-8.359398267
CAN,1992,-9.199149263
CAN,1993,-8.934764945
CAN,1994,-6.935977535
CAN,1995,-5.489640113
CAN,1996,-3.05256596
CAN,1997,0.038702165
CAN,1998,0.142682776
CAN,1999,1.655576247
CAN,2000,2.639703961
CAN,2001,0.529468967
CAN,2002,-0.233895789
CAN,2003,-0.126957865
CAN,2004,0.767669538
CAN,2005,1.553120098
CAN,2006,1.827604363
CAN,2007,1.819655807
CAN,2008,0.184485477
CAN,2009,-3.881351769
CAN,2010,-4.737558582
CAN,2011,-3.308732553
CAN,2012,-2.524517007
CAN,2013,-1.494758567
CAN,2014,0.17489616
CAN,2015,-0.061845591
CAN,2016,-0.453312335
CAN,2017,-0.112162665
CAN,2018,0.35165438
CAN,2019,0.00432767
CAN,2020,-11.36043546
DEU,1995,-9.432231435
DEU,1996,-3.570402523
DEU,1997,-2.942100298
DEU,1998,-2.566892704
DEU,1999,-1.719220386
DEU,2000,-1.584664476
DEU,2001,-3.025444871
DEU,2002,-3.874993176
DEU,2003,-3.704201088
DEU,2004,-3.334158372
DEU,2005,-3.319436615
DEU,2006,-1.653152096
DEU,2007,0.26088696
DEU,2008,-0.116356239
DEU,2009,-3.150511299
DEU,2010,-4.378646077
DEU,2011,-0.881398595
DEU,2012,0.009324994
DEU,2013,0.039980792
DEU,2014,0.579552713
DEU,2015,0.960550926
DEU,2016,1.160351417
DEU,2017,1.336083938
DEU,2018,1.913321813
DEU,2019,1.471173363
DEU,2020,-4.313093159
FRA,1978,-1.796824577
FRA,1979,-0.482157656
FRA,1980,-0.428536645
FRA,1981,-2.40752179
FRA,1982,-2.836913321
FRA,1983,-2.540767887
FRA,1984,-2.735951798
FRA,1985,-2.972459677
FRA,1986,-3.197413196
FRA,1987,-2.01429234
FRA,1988,-2.564376929
FRA,1989,-1.782231043
FRA,1990,-2.43397061
FRA,1991,-2.863044504
FRA,1992,-4.601218586
FRA,1993,-6.358794486
FRA,1994,-5.422899361
FRA,1995,-5.108542995
FRA,1996,-3.905879422
FRA,1997,-3.65283417
FRA,1998,-2.378437395
FRA,1999,-1.602927625
FRA,2000,-1.318422681
FRA,2001,-1.379274477
FRA,2002,-3.16028993
FRA,2003,-4.01553721
FRA,2004,-3.590570293
FRA,2005,-3.355559897
FRA,2006,-2.443685608
FRA,2007,-2.636296205
FRA,2008,-3.26373483
FRA,2009,-7.174779051
FRA,2010,-6.886721673
FRA,2011,-5.154760881
FRA,2012,-4.980984334
FRA,2013,-4.084094523
FRA,2014,-3.904659346
FRA,2015,-3.62517467
FRA,2016,-3.637256398
FRA,2017,-2.958417093
FRA,2018,-2.288954541
FRA,2019,-3.064650778
FRA,2020,-9.085658703
GBR,1990,-1.740696766
GBR,1991,-2.967130991
GBR,1992,-6.100540042
GBR,1993,-7.428779739
GBR,1994,-6.39066769
GBR,1995,-5.140712682
GBR,1996,-3.704053267
GBR,1997,-2.059343786
GBR,1998,-0.306715896
GBR,1999,0.63111222
GBR,2000,1.352753755
GBR,2001,0.234058333
GBR,2002,-1.871320367
GBR,2003,-3.102534187
GBR,2004,-3.042194747
GBR,2005,-3.113479312
GBR,2006,-2.745066438
GBR,2007,-2.633094359
GBR,2008,-5.095224275
GBR,2009,-9.985935573
GBR,2010,-9.195413706
GBR,2011,-7.435898818
GBR,2012,-8.086652666
GBR,2013,-5.467792801
GBR,2014,-5.497286482
GBR,2015,-4.507464815
GBR,2016,-3.303418859
GBR,2017,-2.352772319
GBR,2018,-2.156568769
GBR,2019,-2.212493953
GBR,2020,-12.87541008
ITA,1995,-7.210269699
ITA,1996,-6.614667349
ITA,1997,-2.981625151
ITA,1998,-2.988261643
ITA,1999,-1.772795717
ITA,2000,-2.42333366
ITA,2001,-3.190309483
ITA,2002,-2.869301584
ITA,2003,-3.21762521
ITA,2004,-3.478850032
ITA,2005,-4.082522688
ITA,2006,-3.616569678
ITA,2007,-1.340256786
ITA,2008,-2.563901532
ITA,2009,-5.121045989
ITA,2010,-4.239736448
ITA,2011,-3.593012379
ITA,2012,-2.945408548
ITA,2013,-2.854252853
ITA,2014,-2.954395634
ITA,2015,-2.552201794
ITA,2016,-2.403898886
ITA,2017,-2.419104813
ITA,2018,-2.189296187
ITA,2019,-1.54763273
ITA,2020,-9.581711698
JPN,2005,-4.438461521
JPN,2006,-3.028756085
JPN,2007,-2.901025568
JPN,2008,-4.109629009
JPN,2009,-9.693024425
JPN,2010,-9.075830425
JPN,2011,-8.985525951
JPN,2012,-8.196478264
JPN,2013,-7.611412292
JPN,2014,-5.616110684
JPN,2015,-3.677846107
JPN,2016,-3.599572786
JPN,2017,-3.098741034
JPN,2018,-2.472681978
JPN,2019,-2.892455819
RUS,2011,2.953332429
RUS,2012,1.753766714
RUS,2013,-0.567405881
RUS,2014,-2.247388383
RUS,2015,-1.392087567
RUS,2016,-2.453527756
RUS,2017,-0.634077374
RUS,2018,3.48448362
RUS,2019,3.669284946
USA,1970,-4.433306345
USA,1971,-5.277890716
USA,1972,-4.000468294
USA,1973,-2.741609933
USA,1974,-3.328153565
USA,1975,-7.261236842
USA,1976,-5.245705163
USA,1977,-3.969543084
USA,1978,-3.123122607
USA,1979,-2.621484981
USA,1980,-4.048494964
USA,1981,-3.615727083
USA,1982,-6.212980544
USA,1983,-6.943707798
USA,1984,-5.831847678
USA,1985,-5.987676363
USA,1986,-6.181641709
USA,1987,-5.173812282
USA,1988,-4.517144288
USA,1989,-4.301633053
USA,1990,-5.240791603
USA,1991,-6.126523007
USA,1992,-7.146331925
USA,1993,-6.32803567
USA,1994,-4.994490915
USA,1995,-4.643077934
