LOCATION,TIME,VALUE
AUS,1970,4647.884995
AUS,1971,4859.355514
AUS,1972,5205.906397
AUS,1973,5791.18689
AUS,1974,6240.836577
AUS,1975,6933.807827
AUS,1976,7391.079675
AUS,1977,7721.586926
AUS,1978,8547.13182
AUS,1979,9449.147412
AUS,1980,10470.28694
AUS,1981,11947.24526
AUS,1982,11981.66345
AUS,1983,12767.30554
AUS,1984,13593.13648
AUS,1985,14499.61219
AUS,1986,14983.76535
AUS,1987,16043.86148
AUS,1988,17113.13789
AUS,1989,17819.34495
AUS,1990,17824.88572
AUS,1991,18165.37749
AUS,1992,19136.159
AUS,1993,20162.39481
AUS,1994,21397.51238
AUS,1995,22405.57233
AUS,1996,23268.40581
AUS,1997,24442.26533
AUS,1998,25671.58245
AUS,1999,27121.29636
AUS,2000,28304.65674
AUS,2001,29561.39887
AUS,2002,30800.45213
AUS,2003,32352.94183
AUS,2004,33962.01514
AUS,2005,35642.41871
AUS,2006,37893.839
AUS,2007,39658.37385
AUS,2008,40105.1103
AUS,2009,41636.49607
AUS,2010,42809.92706
AUS,2011,44429.55951
AUS,2012,43883.37889
AUS,2013,47761.90126
AUS,2014,47603.88088
AUS,2015,47232.62912
AUS,2016,50150.6522
AUS,2017,50699.17511
AUS,2018,52980.73433
AUS,2019,52669.4739
AUS,2020,55626.80243
CAN,1970,4590.894787
CAN,1971,4950.765082
CAN,1972,5386.444197
CAN,1973,5996.234615
CAN,1974,6656.633762
CAN,1975,7272.57446
CAN,1976,8017.674279
CAN,1977,8706.146837
CAN,1978,9566.069449
CAN,1979,10638.38012
CAN,1980,11697.55349
CAN,1981,13086.8217
CAN,1982,13293.39329
CAN,1983,14034.0055
CAN,1984,15254.72707
CAN,1985,16332.75302
CAN,1986,16850.72864
CAN,1987,17735.38015
CAN,1988,18923.75376
CAN,1989,19763.4839
CAN,1990,20229.75282
CAN,1991,20224.6806
CAN,1992,20626.20898
CAN,1993,21440.05255
CAN,1994,22632.83127
CAN,1995,23485.64344
CAN,1996,24050.17614
CAN,1997,25259.72536
CAN,1998,26319.93026
CAN,1999,27841.62958
CAN,2000,29362.28957
CAN,2001,30231.00503
CAN,2002,30963.22201
CAN,2003,32350.07088
CAN,2004,33925.89256
CAN,2005,36327.66206
CAN,2006,38120.17679
CAN,2007,39575.32497
CAN,2008,40376.33017
CAN,2009,38865.40602
CAN,2010,40099.49789
CAN,2011,41666.71885
CAN,2012,42290.87908
CAN,2013,44298.51446
CAN,2014,45753.78294
CAN,2015,44670.05437
CAN,2016,46472.36877
CAN,2017,48316.71653
CAN,2018,49891.90208
CAN,2019,49297.0981
CAN,2020,46611.3126
DEU,1970,4043.013363
DEU,1971,4345.47139
DEU,1972,4706.038039
DEU,1973,5185.198774
DEU,1974,5700.443434
DEU,1975,6198.011778
DEU,1976,6894.471249
DEU,1977,7582.678639
DEU,1978,8369.088137
DEU,1979,9436.941109
DEU,1980,10407.82907
DEU,1981,11436.13171
DEU,1982,12107.5571
DEU,1983,12814.46517
DEU,1984,13699.97079
DEU,1985,14495.3822
DEU,1986,15121.25737
DEU,1987,15706.78251
DEU,1988,16777.94878
DEU,1989,17985.69538
DEU,1990,19469.48299
DEU,1991,20994.97477
DEU,1992,21743.10127
DEU,1993,21919.61171
DEU,1994,22866.39731
DEU,1995,23659.4357
DEU,1996,24204.52864
DEU,1997,24730.88368
DEU,1998,25532.15588
DEU,1999,26510.2287
DEU,2000,27450.96833
DEU,2001,28658.39369
DEU,2002,29504.28924
DEU,2003,30269.46437
DEU,2004,31741.6948
DEU,2005,32236.74099
DEU,2006,34666.78278
DEU,2007,36858.44769
DEU,2008,38432.44821
DEU,2009,37465.07035
DEU,2010,39677.03083
DEU,2011,42541.51313
DEU,2012,43359.54105
DEU,2013,44993.66784
DEU,2014,47011.2804
DEU,2015,47609.55716
DEU,2016,50579.48372
DEU,2017,53071.47837
DEU,2018,55235.24773
DEU,2019,55652.87782
DEU,2020,54844.44723
FRA,1970,3691.608377
FRA,1971,4046.403619
FRA,1972,4372.734001
FRA,1973,4865.810449
FRA,1974,5495.812795
FRA,1975,5919.66049
FRA,1976,6491.422419
FRA,1977,7101.352822
FRA,1978,7868.679785
FRA,1979,8785.588876
FRA,1980,9680.327711
FRA,1981,10649.13984
FRA,1982,11520.78179
FRA,1983,12055.34299
FRA,1984,12617.7132
FRA,1985,13162.14187
FRA,1986,13671.07722
FRA,1987,14290.25408
FRA,1988,15406.99006
FRA,1989,16607.30027
FRA,1990,17635.93311
FRA,1991,18331.5608
FRA,1992,18954.97524
FRA,1993,19198.753
FRA,1994,19996.72465
FRA,1995,20770.85129
FRA,1996,21356.84585
FRA,1997,22247.39016
FRA,1998,23363.43361
FRA,1999,24311.40386
FRA,2000,26094.70233
FRA,2001,27494.26341
FRA,2002,28528.15611
FRA,2003,28177.15449
FRA,2004,29065.0496
FRA,2005,30504.05878
FRA,2006,32474.87301
FRA,2007,34128.37762
FRA,2008,35102.87043
FRA,2009,34686.12229
FRA,2010,35912.03184
FRA,2011,37447.94954
FRA,2012,37684.19807
FRA,2013,39528.47364
FRA,2014,40144.05949
FRA,2015,40829.89331
FRA,2016,42855.94456
FRA,2017,44445.59677
FRA,2018,46375.43751
FRA,2019,48800.18586
FRA,2020,46691.09832
GBR,1970,3635.1077
GBR,1971,3932.313316
GBR,1972,4266.692306
GBR,1973,4783.364329
GBR,1974,5083.097106
GBR,1975,5473.05265
GBR,1976,5943.358907
GBR,1977,6470.783414
GBR,1978,7218.652851
GBR,1979,8101.692948
GBR,1980,8640.256823
GBR,1981,9378.645108
GBR,1982,10168.82485
GBR,1983,11008.35539
GBR,1984,11645.07659
GBR,1985,12479.51043
GBR,1986,13101.78324
GBR,1987,14119.89016
GBR,1988,15425.50569
GBR,1989,16397.05207
GBR,1990,17087.46641
GBR,1991,17409.31823
GBR,1992,17832.15189
GBR,1993,18667.5304
GBR,1994,19748.80448
GBR,1995,20615.30129
GBR,1996,21970.05714
GBR,1997,23050.76707
GBR,1998,23688.42399
GBR,1999,24462.86154
GBR,2000,26475.12539
GBR,2001,27810.2933
GBR,2002,29064.33468
GBR,2003,30360.66621
GBR,2004,32078.67176
GBR,2005,32740.96024
GBR,2006,34856.93452
GBR,2007,35697.33638
GBR,2008,36853.43747
GBR,2009,35221.0759
GBR,2010,36580.2955
GBR,2011,37363.81999
GBR,2012,38511.14215
GBR,2013,40232.72231
GBR,2014,41584.04206
GBR,2015,42916.96965
GBR,2016,44610.56565
GBR,2017,46385.63354
GBR,2018,47590.88899
GBR,2019,49070.33313
GBR,2020,46575.88643
ITA,1970,3630.217344
ITA,1971,3865.51596
ITA,1972,4157.768249
ITA,1973,4666.364033
ITA,1974,5331.024643
ITA,1975,5669.112173
ITA,1976,6375.394134
ITA,1977,6915.478076
ITA,1978,7614.557123
ITA,1979,8712.485947
ITA,1980,9805.09488
ITA,1981,10808.84402
ITA,1982,11517.34244
ITA,1983,12103.97816
ITA,1984,12942.31399
ITA,1985,13721.21952
ITA,1986,14397.08874
ITA,1987,15222.48157
ITA,1988,16412.50796
ITA,1989,17620.63165
ITA,1990,18627.65437
ITA,1991,19534.47512
ITA,1992,20138.67208
ITA,1993,20427.73185
ITA,1994,21308.38976
ITA,1995,22382.88842
ITA,1996,23052.61339
ITA,1997,23875.82548
ITA,1998,25021.10009
ITA,1999,25602.38648
ITA,2000,27072.42624
ITA,2001,28030.92154
ITA,2002,28721.07628
ITA,2003,29153.1923
ITA,2004,29481.68563
ITA,2005,30028.48898
ITA,2006,32311.38283
ITA,2007,33956.49039
ITA,2008,35292.60186
ITA,2009,34335.57162
ITA,2010,34839.91696
ITA,2011,36203.32852
ITA,2012,36091.37396
ITA,2013,36267.92535
ITA,2014,36475.97606
ITA,2015,37206.33182
ITA,2016,40267.22262
ITA,2017,41951.46633
ITA,2018,43427.66314
ITA,2019,44334.21226
ITA,2020,41909.58327
JPN,1970,3350.728567
JPN,1971,3649.770279
JPN,1972,4072.296805
JPN,1973,4534.578379
JPN,1974,4815.595081
JPN,1975,5358.162475
JPN,1976,5812.598433
JPN,1977,6381.987236
JPN,1978,7125.928557
JPN,1979,8072.90825
JPN,1980,8978.863152
JPN,1981,10169.02421
JPN,1982,11077.34355
JPN,1983,11836.21388
JPN,1984,12733.4029
JPN,1985,13738.58834
JPN,1986,14408.76266
JPN,1987,15390.30476
JPN,1988,16944.11644
JPN,1989,18394.86996
JPN,1990,19951.40276
JPN,1991,21246.7851
JPN,1992,21833.2901
JPN,1993,22169.02745
JPN,1994,22834.75171
JPN,1995,23865.91364
JPN,1996,25009.68209
JPN,1997,25629.42066
JPN,1998,25520.19654
JPN,1999,25744.91658
JPN,2000,27289.85193
JPN,2001,27946.08314
JPN,2002,28633.69892
JPN,2003,29411.59288
JPN,2004,30837.17542
JPN,2005,32174.40011
JPN,2006,33638.84126
JPN,2007,35021.73222
JPN,2008,35278.74985
JPN,2009,33550.68955
JPN,2010,35342.82472
JPN,2011,36215.00627
JPN,2012,37628.67599
JPN,2013,39436.68259
JPN,2014,39559.76347
JPN,2015,40908.78155
JPN,2016,40642.70453
JPN,2017,41531.22162
JPN,2018,42231.13823
JPN,2019,42649.68407
JPN,2020,42433.41517
OECD,1970,3503.150679
OECD,1971,3772.853916
OECD,1972,4105.34978
OECD,1973,4545.18583
OECD,1974,4955.981692
OECD,1975,5383.147085
OECD,1976,5901.504711
OECD,1977,6437.144847
OECD,1978,7131.840839
OECD,1979,7948.948158
OECD,1980,8692.081544
OECD,1981,9645.446856
OECD,1982,10168.15707
OECD,1983,10793.62214
OECD,1984,11625.44747
OECD,1985,12346.14751
OECD,1986,12871.4325
OECD,1987,13577.42883
OECD,1988,14583.08203
OECD,1989,15595.80444
OECD,1990,16527.21854
OECD,1991,17183.89546
OECD,1992,17817.61714
OECD,1993,18348.18155
OECD,1994,19161.76364
OECD,1995,19911.81236
OECD,1996,20793.58981
OECD,1997,21743.5919
OECD,1998,22332.37832
OECD,1999,23208.42886
OECD,2000,24635.02285
OECD,2001,25413.76248
OECD,2002,26205.96799
OECD,2003,26996.3657
OECD,2004,28438.48585
OECD,2005,29787.69813
OECD,2006,31783.11437
OECD,2007,33331.2263
OECD,2008,34192.78054
OECD,2009,33234.97983
OECD,2010,34538.52927
OECD,2011,35919.59014
OECD,2012,36880.8737
OECD,2013,38229.24821
OECD,2014,39342.2604
OECD,2015,40467.81773
OECD,2016,41885.94793
OECD,2017,43486.53051
OECD,2018,45189.22891
OECD,2019,46131.90058
OECD,2020,45035.29835
RUS,1995,6022.881532
RUS,1996,5920.496933
RUS,1997,6115.87234
RUS,1998,5863.841604
RUS,1999,6345.894176
RUS,2000,7323.44018
RUS,2001,7898.522928
RUS,2002,8623.997299
RUS,2003,9940.232555
RUS,2004,10984.49661
RUS,2005,12698.29923
RUS,2006,16017.12423
RUS,2007,17881.75859
RUS,2008,21657.58906
RUS,2009,20826.59797
RUS,2010,22008.29928
RUS,2011,22798.67392
RUS,2012,24303.49105
RUS,2013,26073.87355
RUS,2014,25761.66151
RUS,2015,24085.31285
RUS,2016,24128.08181
RUS,2017,25926.4314
RUS,2018,28821.2429
RUS,2019,29967.11935
RUS,2020,29819.04697
USA,1970,5233.352349
USA,1971,5608.545346
USA,1972,6093.20516
USA,1973,6725.406839
USA,1974,7224.204995
USA,1975,7801.167695
USA,1976,8590.244216
USA,1977,9450.431025
USA,1978,10562.86018
USA,1979,11671.53697
USA,1980,12547.12681
USA,1981,13943.17154
USA,1982,14399.35319
USA,1983,15508.00784
USA,1984,17080.01472
USA,1985,18192.3264
USA,1986,19027.64632
USA,1987,19993.22608
USA,1988,21367.89616
USA,1989,22804.67446
USA,1990,23835.31923
USA,1991,24289.54759
USA,1992,25378.62464
USA,1993,26350.49293
USA,1994,27660.26836
USA,1995,28657.51272
USA,1996,29932.15777
USA,1997,31424.43893
USA,1998,32817.982
USA,1999,34479.79436
USA,2000,36299.66218
USA,2001,37100.28574
USA,2002,37954.22201
USA,2003,39419.90737
USA,2004,41659.66269
USA,2005,44052.383
USA,2006,46234.10571
USA,2007,47976.20121
USA,2008,48498.44521
USA,2009,47122.98854
USA,2010,48580.48125
USA,2011,49997.53534
USA,2012,51729.31015
USA,2013,53241.1042
USA,2014,55081.5426
USA,2015,56731.07461
USA,2016,57846.27428
USA,2017,59896.75604
USA,2018,62783.97854
USA,2019,65055.78537
USA,2020,63285.23226
