LOCATION,TIME,VALUE
AUS,1995,95.74824
AUS,1996,99.437
AUS,1997,108.561
AUS,1998,116.2524
AUS,1999,122.4634
AUS,2000,126.5365
AUS,2001,131.7542
AUS,2002,150.4648
AUS,2003,162.0615
AUS,2004,172.6775
AUS,2005,183.1097
AUS,2006,188.3798
AUS,2007,192.2755
AUS,2008,186.0279
AUS,2009,191.6128
AUS,2010,189.4769
AUS,2011,188.4553
AUS,2012,190.0044
AUS,2013,190.2531
AUS,2014,193.9466
AUS,2015,202.4026
AUS,2016,208.8023
AUS,2017,214.0322
AUS,2018,215.0934
AUS,2019,209.2388
AUS,2020,203.0669
CAN,1995,108.2612
CAN,1996,111.3603
CAN,1997,113.9386
CAN,1998,116.856
CAN,1999,117.3496
CAN,2000,117.5943
CAN,2001,118.2161
CAN,2002,122.1976
CAN,2003,127.6576
CAN,2004,133.6578
CAN,2005,142.4824
CAN,2006,146.6767
CAN,2007,155.8744
CAN,2008,160.3704
CAN,2009,168.8058
CAN,2010,170.5836
CAN,2011,173.9184
CAN,2012,174.3384
CAN,2013,174.0211
CAN,2014,176.1727
CAN,2015,178.2026
CAN,2016,186.5838
CAN,2017,186.3831
CAN,2018,187.4146
CAN,2019,187.7225
CAN,2020,176.9417
DEU,1995,98.38999
DEU,1996,102.936
DEU,1997,106.7141
DEU,1998,111.3736
DEU,1999,116.2119
DEU,2000,118.4232
DEU,2001,114.7619
DEU,2002,116.0388
DEU,2003,114.5731
DEU,2004,112.8574
DEU,2005,110.7233
DEU,2006,108.1574
DEU,2007,105.1233
DEU,2008,101.8345
DEU,2009,102.595
DEU,2010,100.595
DEU,2011,98.38264
DEU,2012,97.21162
DEU,2013,96.55453
DEU,2014,95.58609
DEU,2015,95.01842
DEU,2016,94.53343
DEU,2017,94.67052
DEU,2018,93.28214
DEU,2019,95.70768
DEU,2020,99.29582
FRA,1995,68.6235
FRA,1996,71.24432
FRA,1997,74.94621
FRA,1998,75.34821
FRA,1999,77.97491
FRA,2000,76.50024
FRA,2001,78.59366
FRA,2002,81.03689
FRA,2003,85.13754
FRA,2004,86.87676
FRA,2005,92.30894
FRA,2006,97.27893
FRA,2007,101.0741
FRA,2008,102.7998
FRA,2009,109.3832
FRA,2010,112.8121
FRA,2011,113.4587
FRA,2012,108.2649
FRA,2013,110.3357
FRA,2014,111.1832
FRA,2015,115.4928
FRA,2016,115.8367
FRA,2017,119.7405
FRA,2018,119.955
FRA,2019,122.3124
FRA,2020,127.2097
GBR,1995,99.08698
GBR,1996,96.97797
GBR,1997,98.31694
GBR,1998,104.3472
GBR,1999,106.783
GBR,2000,109.0583
GBR,2001,116.3478
GBR,2002,127.6184
GBR,2003,139.7482
GBR,2004,149.1834
GBR,2005,153.8267
GBR,2006,164.054
GBR,2007,167.2293
GBR,2008,165.8172
GBR,2009,161.0778
GBR,2010,158.0235
GBR,2011,156.9488
GBR,2012,152.2394
GBR,2013,147.9789
GBR,2014,147.5403
GBR,2015,143.0485
GBR,2016,146.3015
GBR,2017,147.2109
GBR,2018,144.5143
GBR,2019,142.8496
GBR,2020,147.7183
ITA,1995,38.35354
ITA,1996,39.51656
ITA,1997,42.01767
ITA,1998,44.32799
ITA,1999,49.16126
ITA,2000,53.0039
ITA,2001,55.15214
ITA,2002,58.04044
ITA,2003,61.27182
ITA,2004,65.03957
ITA,2005,70.17577
ITA,2006,75.09468
ITA,2007,79.25967
ITA,2008,80.81122
ITA,2009,85.69257
ITA,2010,89.52713
ITA,2011,89.0216
ITA,2012,91.06387
ITA,2013,89.54906
ITA,2014,88.52373
ITA,2015,87.49399
ITA,2016,87.23689
ITA,2017,86.70195
ITA,2018,86.55459
ITA,2019,88.04943
ITA,2020,91.35512
JPN,1995,110.0281
JPN,1996,114.7519
JPN,1997,114.539
JPN,1998,113.0671
JPN,1999,115.8845
JPN,2000,116.6432
JPN,2001,119.7874
JPN,2002,119.0439
JPN,2003,118.5159
JPN,2004,116.5861
JPN,2005,116.3408
JPN,2006,113.2354
JPN,2007,110.7066
JPN,2008,109.4756
JPN,2009,110.0002
JPN,2010,108.2768
JPN,2011,108.7425
JPN,2012,108.8624
JPN,2013,110.7982
JPN,2014,111.8806
JPN,2015,112.7075
JPN,2016,113.9425
JPN,2017,115.6732
JPN,2018,117.0489
JPN,2019,117.6006
RUS,2011,22.84296
RUS,2012,26.63504
RUS,2013,30.45344
RUS,2014,30.6166
RUS,2015,29.68735
RUS,2016,28.84127
RUS,2017,30.24627
RUS,2018,34.19798
RUS,2019,37.40924
USA,1995,94.91271
USA,1996,96.86263
USA,1997,97.99287
USA,1998,99.14298
USA,1999,103.3385
USA,2000,104.7283
USA,2001,108.3911
USA,2002,113.6551
USA,2003,121.6879
USA,2004,128.522
USA,2005,136.5732
USA,2006,141.8083
USA,2007,144.6959
USA,2008,137.4781
USA,2009,136.5851
USA,2010,129.1351
USA,2011,122.1611
USA,2012,115.4633
USA,2013,117.2706
USA,2014,112.4597
USA,2015,109.5193
USA,2016,109.5141
USA,2017,108.5255
USA,2018,105.9277
USA,2019,105.3533
USA,2020,101.1115
