LOCATION,TIME,VALUE
AUS,2008,3.36
AUS,2009,2.15
AUS,2010,1.92
AUS,2011,3.49
AUS,2012,-0.98
AUS,2013,0.54
AUS,2014,1.83
AUS,2015,0.37
AUS,2016,-0.1
AUS,2017,0.25
AUS,2018,0.89
AUS,2019,0.75
AUS,2020,4.77
CAN,2008,3.2
CAN,2009,1.21
CAN,2010,2.27
CAN,2011,0.38
CAN,2012,1.52
CAN,2013,2.05
CAN,2014,0.27
CAN,2015,2.5
CAN,2016,-1.19
CAN,2017,2.65
CAN,2018,0.27
CAN,2019,1.43
CAN,2020,6.77
DEU,2008,0.76
DEU,2009,-0.33
DEU,2010,0.91
DEU,2011,1.7
DEU,2012,0.89
DEU,2013,-0.02
DEU,2014,1.27
DEU,2015,1.32
DEU,2016,1.86
DEU,2017,1.46
DEU,2018,2.3
DEU,2019,0.83
DEU,2020,0.26
FRA,2008,0.03
FRA,2009,1.21
FRA,2010,1.21
FRA,2011,-0.36
FRA,2012,-0.84
FRA,2013,-1.61
FRA,2014,0.74
FRA,2015,0.47
FRA,2016,1.18
FRA,2017,1.33
FRA,2018,0.92
FRA,2019,2.15
FRA,2020,0.02
GBR,2008,-0.83
GBR,2009,1.03
GBR,2010,-0.08
GBR,2011,-2.61
GBR,2012,1.84
GBR,2013,1.07
GBR,2014,1.13
GBR,2015,5.67
GBR,2016,-0.3
GBR,2017,0.28
GBR,2018,2.21
GBR,2019,0.81
GBR,2020,-0.93
ITA,2008,-2.24
ITA,2009,-2.32
ITA,2010,-2.07
ITA,2011,-0.65
ITA,2012,-5.49
ITA,2013,-0.83
ITA,2014,0.37
ITA,2015,1.21
ITA,2016,1.37
ITA,2017,1.16
ITA,2018,1.05
ITA,2019,0.37
ITA,2020,-2.26
JPN,2008,-1.04
JPN,2009,0.52
JPN,2010,0.3
JPN,2011,-0.12
JPN,2012,0.58
JPN,2013,0.41
JPN,2014,-1.72
JPN,2015,0.52
JPN,2016,1.19
JPN,2017,0.69
JPN,2018,0.67
JPN,2019,0.97
OECD,2008,0.35
OECD,2009,-0.46
OECD,2010,0.68
OECD,2011,0.59
OECD,2012,0.97
OECD,2013,-0.76
OECD,2014,1.72
OECD,2015,2.41
OECD,2016,1.3
OECD,2017,1.67
OECD,2018,2.07
OECD,2019,1.59
OECD,2020,2.79
USA,2008,0.38
USA,2009,-0.89
USA,2010,1.23
USA,2011,1.37
USA,2012,2.55
USA,2013,-1.66
USA,2014,3.08
USA,2015,3.08
USA,2016,1.21
USA,2017,2.14
USA,2018,2.78
USA,2019,1.76
USA,2020,6.1
USA,2021,2.18
