LOCATION,TIME,VALUE
AUS,1970,6.646667
AUS,1971,6.713333
AUS,1972,5.831666
AUS,1973,6.933333
AUS,1974,9.036667
AUS,1975,9.741667
AUS,1976,10.03083
AUS,1977,10.22667
AUS,1978,9.06
AUS,1979,9.749166
AUS,1980,11.6475
AUS,1981,13.95833
AUS,1982,15.375
AUS,1983,13.8875
AUS,1984,13.525
AUS,1985,13.95417
AUS,1986,13.41667
AUS,1987,13.19167
AUS,1988,12.10417
AUS,1989,13.40833
AUS,1990,13.18
AUS,1991,10.69083
AUS,1992,9.22
AUS,1993,7.280833
AUS,1994,9.041667
AUS,1995,9.210896
AUS,1996,8.209207
AUS,1997,6.954918
AUS,1998,5.49297
AUS,1999,6.009312
AUS,2000,6.314569
AUS,2001,5.615264
AUS,2002,5.843958
AUS,2003,5.366776
AUS,2004,5.590775
AUS,2005,5.339973
AUS,2006,5.587872
AUS,2007,5.994521
AUS,2008,5.817944
AUS,2009,5.039512
AUS,2010,5.366042
AUS,2011,4.879583
AUS,2012,3.379167
AUS,2013,3.697292
AUS,2014,3.656667
AUS,2015,2.710833
AUS,2016,2.336667
AUS,2017,2.639167
AUS,2018,2.684167
AUS,2019,1.493333
AUS,2020,0.9208333
AUS,2021,1.47
CAN,1970,7.965833
CAN,1971,6.945
CAN,1972,7.225
CAN,1973,7.528333
CAN,1974,8.87
CAN,1975,8.993333
CAN,1976,9.229167
CAN,1977,8.693334
CAN,1978,9.235833
CAN,1979,10.17917
CAN,1980,12.33833
CAN,1981,14.98917
CAN,1982,14.43533
CAN,1983,11.39858
CAN,1984,12.71004
CAN,1985,10.91183
CAN,1986,9.145541
CAN,1987,9.470708
CAN,1988,9.830916
CAN,1989,9.783184
CAN,1990,10.71762
CAN,1991,9.449769
CAN,1992,8.076547
CAN,1993,7.244352
CAN,1994,8.361641
CAN,1995,8.161792
CAN,1996,7.229915
CAN,1997,6.143073
CAN,1998,5.279053
CAN,1999,5.541102
CAN,2000,5.925412
CAN,2001,5.480272
CAN,2002,5.290907
CAN,2003,4.810544
CAN,2004,4.579607
CAN,2005,4.066929
CAN,2006,4.20776
CAN,2007,4.269767
CAN,2008,3.605302
CAN,2009,3.230619
CAN,2010,3.23514
CAN,2011,2.783036
CAN,2012,1.87341
CAN,2013,2.261959
CAN,2014,2.23083
CAN,2015,1.521695
CAN,2016,1.251758
CAN,2017,1.783652
CAN,2018,2.277912
CAN,2019,1.588883
CAN,2020,0.7531087
CAN,2021,1.358811
DEU,1970,8.316667
DEU,1971,7.991667
DEU,1972,7.875
DEU,1973,9.308333
DEU,1974,10.44167
DEU,1975,8.675
DEU,1976,8.033334
DEU,1977,6.533333
DEU,1978,6.133333
DEU,1979,7.566667
DEU,1980,8.425
DEU,1981,10.13333
DEU,1982,8.908334
DEU,1983,8.083333
DEU,1984,7.958333
DEU,1985,7.041667
DEU,1986,6.158333
DEU,1987,6.25
DEU,1988,6.491667
DEU,1989,7.025
DEU,1990,8.726459
DEU,1991,8.445625
DEU,1992,7.835208
DEU,1993,6.496459
DEU,1994,6.884414
DEU,1995,6.850543
DEU,1996,6.215378
DEU,1997,5.640138
DEU,1998,4.573801
DEU,1999,4.49061
DEU,2000,5.263958
DEU,2001,4.796593
DEU,2002,4.78358
DEU,2003,4.071143
DEU,2004,4.037156
DEU,2005,3.354017
DEU,2006,3.764125
DEU,2007,4.216955
DEU,2008,3.984768
DEU,2009,3.222218
DEU,2010,2.744267
DEU,2011,2.609185
DEU,2012,1.49513
DEU,2013,1.571408
DEU,2014,1.163472
DEU,2015,0.4951937
DEU,2016,0.09149919
DEU,2017,0.3163361
DEU,2018,0.396364
DEU,2019,-0.2536345
DEU,2020,-0.511024
DEU,2021,-0.3738212
FRA,1970,8.550834
FRA,1971,8.421667
FRA,1972,8.013333
FRA,1973,8.998333
FRA,1974,11.0025
FRA,1975,10.31167
FRA,1976,10.51
FRA,1977,10.99167
FRA,1978,10.61167
FRA,1979,10.8475
FRA,1980,13.78417
FRA,1981,16.29167
FRA,1982,15.9975
FRA,1983,14.36833
FRA,1984,13.40417
FRA,1985,11.86667
FRA,1986,9.119166
FRA,1987,9.478633
FRA,1988,9.08405
FRA,1989,8.796059
FRA,1990,9.932117
FRA,1991,9.038342
FRA,1992,8.587875
FRA,1993,6.775
FRA,1994,7.213792
FRA,1995,7.534975
FRA,1996,6.312142
FRA,1997,5.582509
FRA,1998,4.640208
FRA,1999,4.608783
FRA,2000,5.394467
FRA,2001,4.939458
FRA,2002,4.861217
FRA,2003,4.130892
FRA,2004,4.099167
FRA,2005,3.409442
FRA,2006,3.795742
FRA,2007,4.3032
FRA,2008,4.234325
FRA,2009,3.648817
FRA,2010,3.117017
FRA,2011,3.321058
FRA,2012,2.535992
FRA,2013,2.20435
FRA,2014,1.666442
FRA,2015,0.8418583
FRA,2016,0.4678833
FRA,2017,0.8098583
FRA,2018,0.7841083
FRA,2019,0.1302
FRA,2020,-0.1452667
FRA,2021,0.007366667
GBR,1970,8.634167
GBR,1971,7.868333
GBR,1972,8.375
GBR,1973,10.55833
GBR,1974,14.20667
GBR,1975,13.18167
GBR,1976,13.61
GBR,1977,12.0275
GBR,1978,12.065
GBR,1979,12.94583
GBR,1980,13.91333
GBR,1981,14.88333
GBR,1982,13.085
GBR,1983,11.26833
GBR,1984,11.1275
GBR,1985,10.97
GBR,1986,10.135
GBR,1987,9.570833
GBR,1988,9.675834
GBR,1989,10.19083
GBR,1990,11.8025
GBR,1991,10.105
GBR,1992,9.063334
GBR,1993,7.479609
GBR,1994,8.1221
GBR,1995,8.200283
GBR,1996,7.810184
GBR,1997,7.052592
GBR,1998,5.550958
GBR,1999,5.093525
GBR,2000,5.328975
GBR,2001,4.9295
GBR,2002,4.894242
GBR,2003,4.526592
GBR,2004,4.882267
GBR,2005,4.413892
GBR,2006,4.501675
GBR,2007,5.011275
GBR,2008,4.590725
GBR,2009,3.647517
