LOCATION,TIME,VALUE
AUS,2001,23.75882452
AUS,2002,24.02780547
AUS,2003,24.32089956
AUS,2004,23.76877202
AUS,2005,23.99514829
AUS,2006,23.93033535
AUS,2007,23.7322899
AUS,2008,23.7595516
AUS,2009,24.59863499
AUS,2010,24.84530824
AUS,2011,24.65798961
AUS,2012,24.5643089
AUS,2013,24.88420388
AUS,2014,25.20848057
AUS,2015,25.24137393
AUS,2016,25.89578485
AUS,2017,25.73043633
AUS,2018,25.57191917
AUS,2019,25.53919801
CAN,1976,12.5097587
CAN,1977,13.04040395
CAN,1978,13.2226949
CAN,1979,13.76872832
CAN,1980,14.29417552
CAN,1981,14.8233106
CAN,1982,15.92424863
CAN,1983,16.78942172
CAN,1984,16.75316164
CAN,1985,17.04586427
CAN,1986,16.9261025
CAN,1987,16.64989621
CAN,1988,16.81693979
CAN,1989,16.6411321
CAN,1990,16.96849192
CAN,1991,18.14333199
CAN,1992,18.55864645
CAN,1993,19.21782802
CAN,1994,18.9450131
CAN,1995,18.80119865
CAN,1996,19.09353963
CAN,1997,19.09066372
CAN,1998,18.81386361
CAN,1999,18.39407942
CAN,2000,18.10478637
CAN,2001,18.11285354
CAN,2002,18.76758403
CAN,2003,18.96699349
CAN,2004,18.53598124
CAN,2005,18.4178848
CAN,2006,18.16565221
CAN,2007,18.27598571
CAN,2008,18.50055471
CAN,2009,19.2666602
CAN,2010,19.49910344
CAN,2011,19.24663754
CAN,2012,18.88599488
CAN,2013,19.02686576
CAN,2014,19.24248084
CAN,2015,18.85468503
CAN,2016,19.20292692
CAN,2017,19.20159794
CAN,2018,18.75697145
CAN,2019,19.01256689
CAN,2020,18.04469881
DEU,1983,13.37099957
DEU,1984,11.03323056
DEU,1985,10.97087935
DEU,1986,11.2232185
DEU,1987,10.9697215
DEU,1988,11.3829344
DEU,1989,11.58456486
DEU,1990,13.42195496
DEU,1991,11.83619047
DEU,1992,12.25415364
DEU,1993,12.83328054
DEU,1994,13.5047243
DEU,1995,14.24406501
DEU,1996,14.89393245
DEU,1997,15.81891442
DEU,1998,16.59621217
DEU,1999,17.140845
DEU,2000,17.58098053
DEU,2001,18.29400733
DEU,2002,18.77605124
DEU,2003,19.56408094
DEU,2004,20.09670267
DEU,2005,21.46167684
DEU,2006,21.842665
DEU,2007,21.97901574
DEU,2008,21.78336199
DEU,2009,21.85774549
DEU,2010,21.83695438
DEU,2011,22.26650576
DEU,2012,22.23525722
DEU,2013,22.5695483
DEU,2014,22.32789071
DEU,2015,22.40204165
DEU,2016,22.06959085
DEU,2017,22.1583982
DEU,2018,22.02862316
DEU,2019,22.0415849
FRA,1983,10.30371787
FRA,1984,11.24866942
FRA,1985,11.65606952
FRA,1986,12.61135567
FRA,1987,12.54406625
FRA,1988,12.56231856
FRA,1989,12.14853815
FRA,1990,12.16956429
FRA,1991,12.03883988
FRA,1992,12.55040708
FRA,1993,13.19080744
FRA,1994,13.79856905
FRA,1995,14.15307401
FRA,1996,14.04506645
FRA,1997,14.76562935
FRA,1998,14.68499158
FRA,1999,14.5601247
FRA,2000,14.24953413
FRA,2001,13.78933658
FRA,2002,13.83245113
FRA,2003,12.97985105
FRA,2004,13.26601878
FRA,2005,13.18965094
FRA,2006,13.20916745
FRA,2007,13.28382639
FRA,2008,13.02659834
FRA,2009,13.46170547
FRA,2010,13.67666131
FRA,2011,13.66343109
FRA,2012,13.87255201
FRA,2013,14.0190112
FRA,2014,14.31455555
FRA,2015,14.35547981
FRA,2016,14.25145625
FRA,2017,14.28800444
FRA,2018,14.00574465
FRA,2019,13.43801126
FRA,2020,13.11971181
GBR,1983,18.42835497
GBR,1984,19.56750998
GBR,1985,19.67133628
GBR,1986,20.20236682
GBR,1987,20.81281074
GBR,1988,20.51813307
GBR,1989,20.21423418
GBR,1990,20.10748719
GBR,1991,20.69748715
GBR,1992,21.51882102
GBR,1993,22.12737044
GBR,1994,22.39136502
GBR,1995,22.3203934
GBR,1996,22.89304121
GBR,1997,22.89904396
GBR,1998,22.97956191
GBR,1999,22.9465856
GBR,2000,23.29627016
GBR,2001,22.70081398
GBR,2002,23.05442893
GBR,2003,23.33300437
GBR,2004,23.40708757
GBR,2005,22.93188845
GBR,2006,23.09015399
GBR,2007,22.88096207
GBR,2008,22.96048758
GBR,2009,23.92627652
GBR,2010,24.63143686
GBR,2011,24.66671693
GBR,2012,24.97068003
GBR,2013,24.63908594
GBR,2014,24.09797704
GBR,2015,23.9738084
GBR,2016,24.04446482
GBR,2017,23.84652533
GBR,2018,23.58733706
GBR,2019,23.37438846
GBR,2020,22.4465216
ITA,1983,8.039429257
ITA,1984,7.813442723
ITA,1985,7.900797024
ITA,1986,8.066987638
ITA,1987,8.470808084
ITA,1988,8.588968813
ITA,1989,9.047733332
ITA,1990,8.880392704
ITA,1991,9.011549066
ITA,1992,9.976944003
ITA,1993,10.03342993
ITA,1994,10.02692713
ITA,1995,10.54297887
ITA,1996,10.4983215
ITA,1997,11.26411389
ITA,1998,11.18944582
ITA,1999,11.79849835
ITA,2000,11.70623512
ITA,2001,11.73772107
ITA,2002,11.61067343
ITA,2003,11.6875096
ITA,2004,14.78358192
ITA,2005,14.66012858
ITA,2006,15.03067464
ITA,2007,15.27428017
ITA,2008,15.96255412
ITA,2009,15.89125993
ITA,2010,16.36527809
ITA,2011,16.65956083
ITA,2012,17.78323964
ITA,2013,18.51589771
ITA,2014,18.82335389
ITA,2015,18.65271153
ITA,2016,18.63680936
ITA,2017,18.47441697
ITA,2018,17.96462347
ITA,2019,18.00064563
ITA,2020,17.92010408
JPN,1980,11.08068971
JPN,1981,11.03017516
JPN,1982,11.197471
JPN,1983,11.35898869
JPN,1984,11.56584109
JPN,1985,11.72475478
JPN,1986,11.83552825
JPN,1987,11.7334022
JPN,1988,11.95137168
JPN,1989,12.42936353
JPN,1990,13.56577258
JPN,1991,14.08217839
JPN,1992,14.42465441
JPN,1993,14.85368023
JPN,1994,15.09804638
JPN,1995,14.17161758
JPN,1996,15.38151332
JPN,1997,16.40899562
JPN,1998,16.62000661
JPN,1999,17.02427206
JPN,2000,15.94715018
JPN,2001,17.56641278
JPN,2002,17.72213247
JPN,2003,18.16415736
JPN,2004,18.10247293
JPN,2005,18.25946817
JPN,2006,17.95571245
JPN,2007,18.8567779
JPN,2008,19.55441577
JPN,2009,20.26143791
JPN,2010,20.24258318
JPN,2011,20.57005495
JPN,2012,20.51114024
JPN,2013,21.88519243
JPN,2014,22.74943126
JPN,2015,22.66839378
JPN,2016,22.78987828
JPN,2017,22.42088608
JPN,2018,23.93427376
JPN,2019,25.1578137
JPN,2020,25.77708006
OECD,1976,12.5097587
OECD,1977,13.04040395
OECD,1978,13.2226949
OECD,1979,13.99932054
OECD,1980,13.21048742
OECD,1981,13.21018984
OECD,1982,13.86838186
OECD,1983,13.60414892
OECD,1984,13.26554863
OECD,1985,13.43450901
OECD,1986,13.48418578
OECD,1987,13.47169497
OECD,1988,13.21443118
OECD,1989,12.93998348
OECD,1990,13.15386995
OECD,1991,13.52133282
OECD,1992,13.85349481
OECD,1993,13.88611993
OECD,1994,13.8274273
OECD,1995,13.7182757
OECD,1996,13.70813358
OECD,1997,13.99058253
OECD,1998,14.08141048
OECD,1999,14.28816581
OECD,2000,13.89424884
OECD,2001,14.31821362
OECD,2002,14.55121502
OECD,2003,14.63990473
OECD,2004,15.02370742
OECD,2005,15.17479702
OECD,2006,15.21760128
OECD,2007,15.37840985
OECD,2008,15.55288304
OECD,2009,16.39630107
OECD,2010,16.66254289
OECD,2011,16.88004937
OECD,2012,16.92071967
OECD,2013,17.12313028
OECD,2014,16.97727189
OECD,2015,16.80776362
OECD,2016,16.70728078
OECD,2017,16.51614536
OECD,2018,16.53516589
OECD,2019,16.7265484
OECD,2020,16.67655604
RUS,1992,5.199676435
RUS,1993,4.249590945
RUS,1994,4.726824181
RUS,1995,4.566601445
RUS,1996,4.34072718
RUS,1997,4.368274653
RUS,1998,4.613734922
RUS,1999,8.187643237
RUS,2000,7.364822198
RUS,2001,5.213526559
RUS,2002,3.790279285
RUS,2003,5.326963809
RUS,2004,5.417353308
RUS,2005,5.632677791
RUS,2006,5.294391259
RUS,2007,5.084132104
RUS,2008,4.963094338
RUS,2009,4.733432108
RUS,2010,4.250835602
RUS,2011,4.057684664
RUS,2012,4.110074606
RUS,2013,4.303552874
RUS,2014,4.013287184
RUS,2015,4.219903308
RUS,2016,4.295487115
RUS,2017,3.590856539
RUS,2018,3.903723018
RUS,2019,4.033770933
RUS,2020,4.098405341
