LOCATION,INDICATOR,TIME,VALUE
AUS,QGDP,1970-Q2,2.003171762
AUS,QGDP,1970-Q3,-0.205850676
AUS,QGDP,1970-Q4,0.482179381
AUS,QGDP,1971-Q1,1.207459571
AUS,QGDP,1971-Q2,0.424501254
AUS,QGDP,1971-Q3,3.143882256
AUS,QGDP,1971-Q4,-0.316455696
AUS,QGDP,1972-Q1,-1.215964192
AUS,QGDP,1972-Q2,2.233633724
AUS,QGDP,1972-Q3,-0.502298096
AUS,QGDP,1972-Q4,1.064935493
AUS,QGDP,1973-Q1,2.578375599
AUS,QGDP,1973-Q2,0.185394421
AUS,QGDP,1973-Q3,1.012620025
AUS,QGDP,1973-Q4,2.501847688
AUS,QGDP,1974-Q1,0.013807069
AUS,QGDP,1974-Q2,-2.032426794
AUS,QGDP,1974-Q3,1.196217198
AUS,QGDP,1974-Q4,0.105984652
AUS,QGDP,1975-Q1,0.389486944
AUS,QGDP,1975-Q2,3.15076402
AUS,QGDP,1975-Q3,-1.09180734
AUS,QGDP,1975-Q4,-1.50224469
AUS,QGDP,1976-Q1,4.410773379
AUS,QGDP,1976-Q2,0.304470954
AUS,QGDP,1976-Q3,0.812627544
AUS,QGDP,1976-Q4,0.87935688
AUS,QGDP,1977-Q1,-0.550201381
AUS,QGDP,1977-Q2,1.410956427
AUS,QGDP,1977-Q3,-0.424315034
AUS,QGDP,1977-Q4,-0.307954537
AUS,QGDP,1978-Q1,0.700426003
AUS,QGDP,1978-Q2,0.816830271
AUS,QGDP,1978-Q3,1.522774393
AUS,QGDP,1978-Q4,0.83987928
AUS,QGDP,1979-Q1,2.73296562
AUS,QGDP,1979-Q2,-1.609343883
AUS,QGDP,1979-Q3,0.93202954
AUS,QGDP,1979-Q4,1.941694952
AUS,QGDP,1980-Q1,0.439293143
AUS,QGDP,1980-Q2,0.256732614
AUS,QGDP,1980-Q3,0.529970037
AUS,QGDP,1980-Q4,1.735151424
AUS,QGDP,1981-Q1,0.376216412
AUS,QGDP,1981-Q2,1.545513575
AUS,QGDP,1981-Q3,2.010750169
AUS,QGDP,1981-Q4,-0.388513409
AUS,QGDP,1982-Q1,-0.823670881
AUS,QGDP,1982-Q2,0.901500826
AUS,QGDP,1982-Q3,-0.67241959
AUS,QGDP,1982-Q4,-1.572078679
AUS,QGDP,1983-Q1,-1.010023818
AUS,QGDP,1983-Q2,-0.183993824
AUS,QGDP,1983-Q3,2.788197533
AUS,QGDP,1983-Q4,1.677953348
AUS,QGDP,1984-Q1,2.50869533
AUS,QGDP,1984-Q2,1.122581577
AUS,QGDP,1984-Q3,0.848355048
AUS,QGDP,1984-Q4,0.701998631
AUS,QGDP,1985-Q1,1.44634635
AUS,QGDP,1985-Q2,2.211635629
AUS,QGDP,1985-Q3,1.351374255
AUS,QGDP,1985-Q4,-0.245823509
AUS,QGDP,1986-Q1,0.638704486
AUS,QGDP,1986-Q2,-0.177680054
AUS,QGDP,1986-Q3,0.282012916
AUS,QGDP,1986-Q4,1.657921303
AUS,QGDP,1987-Q1,0.955394898
AUS,QGDP,1987-Q2,1.572751938
AUS,QGDP,1987-Q3,1.813383279
AUS,QGDP,1987-Q4,2.028806756
AUS,QGDP,1988-Q1,0.424636063
AUS,QGDP,1988-Q2,0.071918594
AUS,QGDP,1988-Q3,0.817040103
AUS,QGDP,1988-Q4,1.58089778
AUS,QGDP,1989-Q1,1.014801469
AUS,QGDP,1989-Q2,2.10873796
AUS,QGDP,1989-Q3,0.842481121
AUS,QGDP,1989-Q4,-0.26986808
AUS,QGDP,1990-Q1,0.794042998
AUS,QGDP,1990-Q2,0.126141221
AUS,QGDP,1990-Q3,-0.570961316
AUS,QGDP,1990-Q4,0.592887265
AUS,QGDP,1991-Q1,-1.291435742
AUS,QGDP,1991-Q2,-0.164203612
AUS,QGDP,1991-Q3,0.435059423
AUS,QGDP,1991-Q4,0.060990251
AUS,QGDP,1992-Q1,0.763593256
AUS,QGDP,1992-Q2,0.716367863
AUS,QGDP,1992-Q3,0.988403988
AUS,QGDP,1992-Q4,2.069850428
AUS,QGDP,1993-Q1,0.709297951
AUS,QGDP,1993-Q2,0.583577819
AUS,QGDP,1993-Q3,0.122741622
AUS,QGDP,1993-Q4,1.836605446
AUS,QGDP,1994-Q1,1.633351102
AUS,QGDP,1994-Q2,1.198442287
AUS,QGDP,1994-Q3,0.771360332
AUS,QGDP,1994-Q4,1.044894461
AUS,QGDP,1995-Q1,0.039870548
AUS,QGDP,1995-Q2,0.401938463
AUS,QGDP,1995-Q3,2.256286818
AUS,QGDP,1995-Q4,-0.026017147
AUS,QGDP,1996-Q1,1.643637565
AUS,QGDP,1996-Q2,0.686406788
AUS,QGDP,1996-Q3,0.774158133
AUS,QGDP,1996-Q4,0.924016005
AUS,QGDP,1997-Q1,0.621085968
AUS,QGDP,1997-Q2,2.973460123
AUS,QGDP,1997-Q3,0.140951885
AUS,QGDP,1997-Q4,1.446165615
AUS,QGDP,1998-Q1,0.673752314
AUS,QGDP,1998-Q2,0.917166633
AUS,QGDP,1998-Q3,1.888914041
AUS,QGDP,1998-Q4,1.501327593
AUS,QGDP,1999-Q1,0.744584271
AUS,QGDP,1999-Q2,0.322702437
AUS,QGDP,1999-Q3,1.154938578
AUS,QGDP,1999-Q4,1.706134855
AUS,QGDP,2000-Q1,0.403417836
AUS,QGDP,2000-Q2,0.936953286
AUS,QGDP,2000-Q3,0.246876586
AUS,QGDP,2000-Q4,-0.354287112
AUS,QGDP,2001-Q1,1.035278557
AUS,QGDP,2001-Q2,0.812111152
AUS,QGDP,2001-Q3,1.195133787
AUS,QGDP,2001-Q4,1.213760806
AUS,QGDP,2002-Q1,0.764615928
AUS,QGDP,2002-Q2,1.70733131
AUS,QGDP,2002-Q3,0.300981058
AUS,QGDP,2002-Q4,0.820128105
AUS,QGDP,2003-Q1,0.204625353
AUS,QGDP,2003-Q2,0.411876129
AUS,QGDP,2003-Q3,1.730994005
AUS,QGDP,2003-Q4,1.649791928
AUS,QGDP,2004-Q1,0.789992818
AUS,QGDP,2004-Q2,0.653017047
AUS,QGDP,2004-Q3,0.765572821
AUS,QGDP,2004-Q4,0.766574279
AUS,QGDP,2005-Q1,0.769862119
AUS,QGDP,2005-Q2,0.423590271
AUS,QGDP,2005-Q3,1.114247425
AUS,QGDP,2005-Q4,0.785436648
AUS,QGDP,2006-Q1,0.118665921
AUS,QGDP,2006-Q2,0.18747507
AUS,QGDP,2006-Q3,1.489031333
AUS,QGDP,2006-Q4,1.310266369
AUS,QGDP,2007-Q1,1.390955608
AUS,QGDP,2007-Q2,0.607781679
AUS,QGDP,2007-Q3,1.141247319
AUS,QGDP,2007-Q4,0.43885517
AUS,QGDP,2008-Q1,1.035091138
AUS,QGDP,2008-Q2,0.285841847
AUS,QGDP,2008-Q3,0.709143259
AUS,QGDP,2008-Q4,-0.445194282
AUS,QGDP,2009-Q1,0.911711153
AUS,QGDP,2009-Q2,0.747253777
AUS,QGDP,2009-Q3,0.283762725
AUS,QGDP,2009-Q4,0.787545646
AUS,QGDP,2010-Q1,0.434419083
AUS,QGDP,2010-Q2,0.640536054
AUS,QGDP,2010-Q3,0.700459384
AUS,QGDP,2010-Q4,0.918657258
AUS,QGDP,2011-Q1,-0.302186997
AUS,QGDP,2011-Q2,1.270086187
AUS,QGDP,2011-Q3,1.346117339
