LOCATION,TIME,VALUE
AUS,1970-Q2,2.003171762
AUS,1970-Q3,-0.205850676
AUS,1970-Q4,0.482179381
AUS,1971-Q1,1.207459571
AUS,1971-Q2,0.424501254
AUS,1971-Q3,3.143882256
AUS,1971-Q4,-0.316455696
AUS,1972-Q1,-1.215964192
AUS,1972-Q2,2.233633724
AUS,1972-Q3,-0.502298096
AUS,1972-Q4,1.064935493
AUS,1973-Q1,2.578375599
AUS,1973-Q2,0.185394421
AUS,1973-Q3,1.012620025
AUS,1973-Q4,2.501847688
AUS,1974-Q1,0.013807069
AUS,1974-Q2,-2.032426794
AUS,1974-Q3,1.196217198
AUS,1974-Q4,0.105984652
AUS,1975-Q1,0.389486944
AUS,1975-Q2,3.15076402
AUS,1975-Q3,-1.09180734
AUS,1975-Q4,-1.50224469
AUS,1976-Q1,4.410773379
AUS,1976-Q2,0.304470954
AUS,1976-Q3,0.812627544
AUS,1976-Q4,0.87935688
AUS,1977-Q1,-0.550201381
AUS,1977-Q2,1.410956427
AUS,1977-Q3,-0.424315034
AUS,1977-Q4,-0.307954537
AUS,1978-Q1,0.700426003
AUS,1978-Q2,0.816830271
AUS,1978-Q3,1.522774393
AUS,1978-Q4,0.83987928
AUS,1979-Q1,2.73296562
AUS,1979-Q2,-1.609343883
AUS,1979-Q3,0.93202954
AUS,1979-Q4,1.941694952
AUS,1980-Q1,0.439293143
AUS,1980-Q2,0.256732614
AUS,1980-Q3,0.529970037
AUS,1980-Q4,1.735151424
AUS,1981-Q1,0.376216412
AUS,1981-Q2,1.545513575
AUS,1981-Q3,2.010750169
AUS,1981-Q4,-0.388513409
AUS,1982-Q1,-0.823670881
AUS,1982-Q2,0.901500826
AUS,1982-Q3,-0.67241959
AUS,1982-Q4,-1.572078679
AUS,1983-Q1,-1.010023818
AUS,1983-Q2,-0.183993824
AUS,1983-Q3,2.788197533
AUS,1983-Q4,1.677953348
AUS,1984-Q1,2.50869533
AUS,1984-Q2,1.122581577
AUS,1984-Q3,0.848355048
AUS,1984-Q4,0.701998631
AUS,1985-Q1,1.44634635
AUS,1985-Q2,2.211635629
AUS,1985-Q3,1.351374255
AUS,1985-Q4,-0.245823509
AUS,1986-Q1,0.638704486
AUS,1986-Q2,-0.177680054
AUS,1986-Q3,0.282012916
AUS,1986-Q4,1.657921303
AUS,1987-Q1,0.955394898
AUS,1987-Q2,1.572751938
AUS,1987-Q3,1.813383279
AUS,1987-Q4,2.028806756
AUS,1988-Q1,0.424636063
AUS,1988-Q2,0.071918594
AUS,1988-Q3,0.817040103
AUS,1988-Q4,1.58089778
AUS,1989-Q1,1.014801469
AUS,1989-Q2,2.10873796
AUS,1989-Q3,0.842481121
AUS,1989-Q4,-0.26986808
AUS,1990-Q1,0.794042998
AUS,1990-Q2,0.126141221
AUS,1990-Q3,-0.570961316
AUS,1990-Q4,0.592887265
AUS,1991-Q1,-1.291435742
AUS,1991-Q2,-0.164203612
AUS,1991-Q3,0.435059423
AUS,1991-Q4,0.060990251
AUS,1992-Q1,0.763593256
AUS,1992-Q2,0.716367863
AUS,1992-Q3,0.988403988
AUS,1992-Q4,2.069850428
AUS,1993-Q1,0.709297951
AUS,1993-Q2,0.583577819
AUS,1993-Q3,0.122741622
AUS,1993-Q4,1.836605446
AUS,1994-Q1,1.633351102
AUS,1994-Q2,1.198442287
AUS,1994-Q3,0.771360332
AUS,1994-Q4,1.044894461
AUS,1995-Q1,0.039870548
AUS,1995-Q2,0.401938463
AUS,1995-Q3,2.256286818
AUS,1995-Q4,-0.026017147
AUS,1996-Q1,1.643637565
AUS,1996-Q2,0.686406788
AUS,1996-Q3,0.774158133
AUS,1996-Q4,0.924016005
AUS,1997-Q1,0.621085968
AUS,1997-Q2,2.973460123
AUS,1997-Q3,0.140951885
AUS,1997-Q4,1.446165615
AUS,1998-Q1,0.673752314
AUS,1998-Q2,0.917166633
AUS,1998-Q3,1.888914041
AUS,1998-Q4,1.501327593
AUS,1999-Q1,0.744584271
AUS,1999-Q2,0.322702437
AUS,1999-Q3,1.154938578
AUS,1999-Q4,1.706134855
AUS,2000-Q1,0.403417836
AUS,2000-Q2,0.936953286
AUS,2000-Q3,0.246876586
AUS,2000-Q4,-0.354287112
AUS,2001-Q1,1.035278557
AUS,2001-Q2,0.812111152
AUS,2001-Q3,1.195133787
AUS,2001-Q4,1.213760806
AUS,2002-Q1,0.764615928
AUS,2002-Q2,1.70733131
AUS,2002-Q3,0.300981058
AUS,2002-Q4,0.820128105
AUS,2003-Q1,0.204625353
AUS,2003-Q2,0.411876129
AUS,2003-Q3,1.730994005
AUS,2003-Q4,1.649791928
AUS,2004-Q1,0.789992818
AUS,2004-Q2,0.653017047
AUS,2004-Q3,0.765572821
AUS,2004-Q4,0.766574279
AUS,2005-Q1,0.769862119
AUS,2005-Q2,0.423590271
AUS,2005-Q3,1.114247425
AUS,2005-Q4,0.785436648
AUS,2006-Q1,0.118665921
AUS,2006-Q2,0.18747507
AUS,2006-Q3,1.489031333
AUS,2006-Q4,1.310266369
AUS,2007-Q1,1.390955608
AUS,2007-Q2,0.607781679
AUS,2007-Q3,1.141247319
AUS,2007-Q4,0.43885517
AUS,2008-Q1,1.035091138
AUS,2008-Q2,0.285841847
AUS,2008-Q3,0.709143259
AUS,2008-Q4,-0.445194282
AUS,2009-Q1,0.911711153
AUS,2009-Q2,0.747253777
AUS,2009-Q3,0.283762725
AUS,2009-Q4,0.787545646
AUS,2010-Q1,0.434419083
AUS,2010-Q2,0.640536054
AUS,2010-Q3,0.700459384
AUS,2010-Q4,0.918657258
AUS,2011-Q1,-0.302186997
AUS,2011-Q2,1.270086187
AUS,2011-Q3,1.346117339
AUS,2011-Q4,1.110027222
AUS,2012-Q1,0.947949398
AUS,2012-Q2,0.717870983
AUS,2012-Q3,0.59112228
AUS,2012-Q4,0.515662787
AUS,2013-Q1,0.425018021
AUS,2013-Q2,0.399448137
AUS,2013-Q3,0.785040134
AUS,2013-Q4,0.832588648
AUS,2014-Q1,0.757646704
AUS,2014-Q2,0.433215452
AUS,2014-Q3,0.475136051
AUS,2014-Q4,0.393587578
AUS,2015-Q1,0.906714882
AUS,2015-Q2,0.085155453
AUS,2015-Q3,1.042488323
AUS,2015-Q4,0.627153098
AUS,2016-Q1,0.857287928
AUS,2016-Q2,0.630262541
AUS,2016-Q3,0.131833212
AUS,2016-Q4,1.077293215
AUS,2017-Q1,0.237389102
AUS,2017-Q2,0.652067632
AUS,2017-Q3,0.972921371
AUS,2017-Q4,0.453139805
AUS,2018-Q1,0.862388859
AUS,2018-Q2,0.879679205
AUS,2018-Q3,0.410944112
AUS,2018-Q4,0.136150216
AUS,2019-Q1,0.417418933
AUS,2019-Q2,0.69778376
AUS,2019-Q3,0.803162955
AUS,2019-Q4,0.390628883
AUS,2020-Q1,-0.293663366
AUS,2020-Q2,-6.792819309
AUS,2020-Q3,3.416049809
AUS,2020-Q4,3.268596012
AUS,2021-Q1,1.820594162
AUS,2021-Q2,0.703263543
AUS,2021-Q3,-1.922074081
CAN,1970-Q2,-0.004057869
CAN,1970-Q3,1.032504848
CAN,1970-Q4,0.178300435
CAN,1971-Q1,-0.573694762
CAN,1971-Q2,2.900629253
CAN,1971-Q3,2.780357231
CAN,1971-Q4,1.105730736
CAN,1972-Q1,-0.349406697
CAN,1972-Q2,2.830064499
CAN,1972-Q3,0.278737839
CAN,1972-Q4,2.369387683
CAN,1973-Q1,2.61132786
CAN,1973-Q2,1.084605289
CAN,1973-Q3,0.362013934
CAN,1973-Q4,1.868824427
CAN,1974-Q1,0.741400547
CAN,1974-Q2,1.094286656
CAN,1974-Q3,-0.087894261
CAN,1974-Q4,-0.463837034
CAN,1975-Q1,-0.628394126
CAN,1975-Q2,1.299640149
CAN,1975-Q3,1.877954578
CAN,1975-Q4,1.166484824
CAN,1976-Q1,1.732839462
CAN,1976-Q2,2.163803961
CAN,1976-Q3,0.445344075
CAN,1976-Q4,0.206075061
CAN,1977-Q1,1.422042393
CAN,1977-Q2,0.537242437
CAN,1977-Q3,0.528995067
CAN,1977-Q4,1.58111274
CAN,1978-Q1,0.840853027
CAN,1978-Q2,0.685996478
CAN,1978-Q3,0.954509352
CAN,1978-Q4,0.87695671
CAN,1979-Q1,0.831951715
CAN,1979-Q2,1.347063852
CAN,1979-Q3,0.691984333
CAN,1979-Q4,0.665624679
