"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISR","STINT","TOT","PC_PA","A","1992",11.87024,
"ISR","STINT","TOT","PC_PA","A","1993",11.09246,
"ISR","STINT","TOT","PC_PA","A","1994",12.80345,
"ISR","STINT","TOT","PC_PA","A","1995",14.70411,
"ISR","STINT","TOT","PC_PA","A","1996",15.66679,
"ISR","STINT","TOT","PC_PA","A","1997",13.76988,
"ISR","STINT","TOT","PC_PA","A","1998",11.94115,
"ISR","STINT","TOT","PC_PA","A","1999",12.03709,
"ISR","STINT","TOT","PC_PA","A","2000",9.045343,
"ISR","STINT","TOT","PC_PA","A","2001",6.531512,
"ISR","STINT","TOT","PC_PA","A","2002",7.167583,
"ISR","STINT","TOT","PC_PA","A","2003",6.611959,
"ISR","STINT","TOT","PC_PA","A","2004",4.26229,
"ISR","STINT","TOT","PC_PA","A","2005",3.88125,
"ISR","STINT","TOT","PC_PA","A","2006",5.462432,
"ISR","STINT","TOT","PC_PA","A","2007",4.255372,
"ISR","STINT","TOT","PC_PA","A","2008",3.561983,
"ISR","STINT","TOT","PC_PA","A","2009",0.6394031,
"ISR","STINT","TOT","PC_PA","A","2010",1.642191,
"ISR","STINT","TOT","PC_PA","A","2011",2.799283,
"ISR","STINT","TOT","PC_PA","A","2012",2.251945,
"ISR","STINT","TOT","PC_PA","A","2013",1.320039,
"ISR","STINT","TOT","PC_PA","A","2014",0.5465347,
"ISR","STINT","TOT","PC_PA","A","2015",0.1230249,
"ISR","STINT","TOT","PC_PA","A","2016",0.1064319,
"ISR","STINT","TOT","PC_PA","A","2017",0.115293,
"ISR","STINT","TOT","PC_PA","A","2018",0.1385781,
"ISR","STINT","TOT","PC_PA","A","2019",0.2335173,
"ISR","STINT","TOT","PC_PA","A","2020",0.085,
"ISR","STINT","TOT","PC_PA","A","2021",-0.008333334,
"FIN","STINT","TOT","PC_PA","A","1987",10.0325,
"FIN","STINT","TOT","PC_PA","A","1988",9.965834,
"FIN","STINT","TOT","PC_PA","A","1989",12.55667,
"FIN","STINT","TOT","PC_PA","A","1990",13.99667,
"FIN","STINT","TOT","PC_PA","A","1991",13.07917,
"FIN","STINT","TOT","PC_PA","A","1992",13.25167,
"FIN","STINT","TOT","PC_PA","A","1993",7.773334,
"FIN","STINT","TOT","PC_PA","A","1994",5.35,
"FIN","STINT","TOT","PC_PA","A","1995",5.75,
"FIN","STINT","TOT","PC_PA","A","1996",3.625,
"FIN","STINT","TOT","PC_PA","A","1997",3.231667,
"FIN","STINT","TOT","PC_PA","A","1998",3.568333,
"FIN","STINT","TOT","PC_PA","A","1999",2.9635,
"FIN","STINT","TOT","PC_PA","A","2000",4.391767,
"FIN","STINT","TOT","PC_PA","A","2001",4.261783,
"FIN","STINT","TOT","PC_PA","A","2002",3.318592,
"FIN","STINT","TOT","PC_PA","A","2003",2.333467,
"FIN","STINT","TOT","PC_PA","A","2004",2.106325,
"FIN","STINT","TOT","PC_PA","A","2005",2.184675,
"FIN","STINT","TOT","PC_PA","A","2006",3.079225,
"FIN","STINT","TOT","PC_PA","A","2007",4.277608,
"FIN","STINT","TOT","PC_PA","A","2008",4.634233,
"FIN","STINT","TOT","PC_PA","A","2009",1.228358,
"FIN","STINT","TOT","PC_PA","A","2010",0.81095,
"FIN","STINT","TOT","PC_PA","A","2011",1.3906,
"FIN","STINT","TOT","PC_PA","A","2012",0.5731834,
"FIN","STINT","TOT","PC_PA","A","2013",0.2206667,
"FIN","STINT","TOT","PC_PA","A","2014",0.2099333,
"FIN","STINT","TOT","PC_PA","A","2015",-0.01936667,
"FIN","STINT","TOT","PC_PA","A","2016",-0.2636917,
"FIN","STINT","TOT","PC_PA","A","2017",-0.32905,
"FIN","STINT","TOT","PC_PA","A","2018",-0.3220917,
"FIN","STINT","TOT","PC_PA","A","2019",-0.3563333,
"FIN","STINT","TOT","PC_PA","A","2020",-0.42515,
"FIN","STINT","TOT","PC_PA","A","2021",-0.5487667,
"SWE","STINT","TOT","PC_PA","A","1982",13.25,
"SWE","STINT","TOT","PC_PA","A","1983",11.41083,
"SWE","STINT","TOT","PC_PA","A","1984",11.93083,
"SWE","STINT","TOT","PC_PA","A","1985",14.17417,
"SWE","STINT","TOT","PC_PA","A","1986",9.830833,
"SWE","STINT","TOT","PC_PA","A","1987",9.390833,
"SWE","STINT","TOT","PC_PA","A","1988",10.08333,
"SWE","STINT","TOT","PC_PA","A","1989",11.49917,
"SWE","STINT","TOT","PC_PA","A","1990",13.6675,
"SWE","STINT","TOT","PC_PA","A","1991",11.59333,
"SWE","STINT","TOT","PC_PA","A","1992",12.85833,
"SWE","STINT","TOT","PC_PA","A","1993",8.351666,
"SWE","STINT","TOT","PC_PA","A","1994",7.400833,
"SWE","STINT","TOT","PC_PA","A","1995",8.745833,
"SWE","STINT","TOT","PC_PA","A","1996",5.79,
"SWE","STINT","TOT","PC_PA","A","1997",4.1075,
"SWE","STINT","TOT","PC_PA","A","1998",4.1875,
"SWE","STINT","TOT","PC_PA","A","1999",3.115,
"SWE","STINT","TOT","PC_PA","A","2000",3.954167,
"SWE","STINT","TOT","PC_PA","A","2001",4.032727,
"SWE","STINT","TOT","PC_PA","A","2002",4.065834,
"SWE","STINT","TOT","PC_PA","A","2003",3.026667,
"SWE","STINT","TOT","PC_PA","A","2004",2.114167,
"SWE","STINT","TOT","PC_PA","A","2005",1.716667,
"SWE","STINT","TOT","PC_PA","A","2006",2.331667,
"SWE","STINT","TOT","PC_PA","A","2007",3.5525,
"SWE","STINT","TOT","PC_PA","A","2008",3.905,
"SWE","STINT","TOT","PC_PA","A","2009",0.3983333,
"SWE","STINT","TOT","PC_PA","A","2010",0.5041667,
"SWE","STINT","TOT","PC_PA","A","2011",1.6575,
"SWE","STINT","TOT","PC_PA","A","2012",1.253333,
"SWE","STINT","TOT","PC_PA","A","2013",0.9258333,
"SWE","STINT","TOT","PC_PA","A","2014",0.4208333,
"SWE","STINT","TOT","PC_PA","A","2015",-0.2891667,
"SWE","STINT","TOT","PC_PA","A","2016",-0.655,
"SWE","STINT","TOT","PC_PA","A","2017",-0.695,
"SWE","STINT","TOT","PC_PA","A","2018",-0.6858333,
"SWE","STINT","TOT","PC_PA","A","2019",-0.4208333,
"SWE","STINT","TOT","PC_PA","A","2020",-0.135,
"SWE","STINT","TOT","PC_PA","A","2021",-0.1941667,
"RUS","STINT","TOT","PC_PA","A","1997",25.375,
"RUS","STINT","TOT","PC_PA","A","1998",29.875,
"RUS","STINT","TOT","PC_PA","A","1999",22.96667,
"RUS","STINT","TOT","PC_PA","A","2000",12.825,
"RUS","STINT","TOT","PC_PA","A","2001",9.983334,
"RUS","STINT","TOT","PC_PA","A","2002",12.39167,
"RUS","STINT","TOT","PC_PA","A","2003",8.125,
"RUS","STINT","TOT","PC_PA","A","2004",7.105,
"RUS","STINT","TOT","PC_PA","A","2005",5.8375,
"RUS","STINT","TOT","PC_PA","A","2006",6.035,
"RUS","STINT","TOT","PC_PA","A","2007",6.660833,
"RUS","STINT","TOT","PC_PA","A","2008",10.77167,
"RUS","STINT","TOT","PC_PA","A","2009",13.05,
"RUS","STINT","TOT","PC_PA","A","2010",5.158333,
"RUS","STINT","TOT","PC_PA","A","2011",5.491167,
"RUS","STINT","TOT","PC_PA","A","2012",7.290417,
"RUS","STINT","TOT","PC_PA","A","2013",7.489417,
