LOCATION,TIME,VALUE
AUS,1970,1.625
AUS,1971,1.925
AUS,1972,2.625
AUS,1973,2.325
AUS,1974,2.7
AUS,1975,4.925
AUS,1976,4.75
AUS,1977,5.65
AUS,1978,6.442533
AUS,1979,6.265499
AUS,1980,6.106246
AUS,1981,5.783571
AUS,1982,7.156132
AUS,1983,9.961594
AUS,1984,8.98968
AUS,1985,8.262986
AUS,1986,8.081038
AUS,1987,8.10804
AUS,1988,7.227954
AUS,1989,6.179825
AUS,1990,6.923
AUS,1991,9.576522
AUS,1992,10.72814
AUS,1993,10.87467
AUS,1994,9.72219
AUS,1995,8.472281
AUS,1996,8.506114
AUS,1997,8.362488
AUS,1998,7.677429
AUS,1999,6.873791
AUS,2000,6.285546
AUS,2001,6.742173
AUS,2002,6.368911
AUS,2003,5.92842
AUS,2004,5.396734
AUS,2005,5.033881
AUS,2006,4.78524
AUS,2007,4.379151
AUS,2008,4.23433
AUS,2009,5.560385
AUS,2010,5.21334
AUS,2011,5.081195
AUS,2012,5.223376
AUS,2013,5.66194
AUS,2014,6.077244
AUS,2015,6.056423
AUS,2016,5.710301
AUS,2017,5.59376
AUS,2018,5.299855
AUS,2019,5.158916
AUS,2020,6.461822
AUS,2021,5.113384
CAN,1970,5.675
CAN,1971,6.2
CAN,1972,6.233333
CAN,1973,5.566667
CAN,1974,5.333333
CAN,1975,6.916667
CAN,1976,7.083333
CAN,1977,8.058333
CAN,1978,8.383333
CAN,1979,7.55
CAN,1980,7.55
CAN,1981,7.633333
CAN,1982,11.03333
CAN,1983,12.03333
CAN,1984,11.35
CAN,1985,10.51667
CAN,1986,9.6
CAN,1987,8.833333
CAN,1988,7.766667
CAN,1989,7.566667
CAN,1990,8.15
CAN,1991,10.325
CAN,1992,11.19167
CAN,1993,11.4
CAN,1994,10.41667
CAN,1995,9.508333
CAN,1996,9.608334
CAN,1997,9.116667
CAN,1998,8.283334
CAN,1999,7.591667
CAN,2000,6.816667
CAN,2001,7.216667
CAN,2002,7.675
CAN,2003,7.575
CAN,2004,7.191667
CAN,2005,6.758333
CAN,2006,6.35
CAN,2007,6.066667
CAN,2008,6.175
CAN,2009,8.375
CAN,2010,8.116667
CAN,2011,7.558333
CAN,2012,7.333333
CAN,2013,7.125
CAN,2014,6.941667
CAN,2015,6.941667
CAN,2016,7.05
CAN,2017,6.4
CAN,2018,5.891667
CAN,2019,5.733333
CAN,2020,9.558333
CAN,2021,7.466667
FRA,1983,8.758333
FRA,1984,10.05
FRA,1985,10.38333
FRA,1986,10.55
FRA,1987,10.65
FRA,1988,10.06667
FRA,1989,9.675
FRA,1990,9.366667
FRA,1991,9.625
FRA,1992,10.64167
FRA,1993,11.825
FRA,1994,12.275
FRA,1995,11.95
FRA,1996,12.4
FRA,1997,12.33333
FRA,1998,12.05
FRA,1999,11.31667
FRA,2000,9.558333
FRA,2001,8.741667
FRA,2002,8.633333
FRA,2003,8.508333
FRA,2004,8.9
FRA,2005,8.883333
FRA,2006,8.85
FRA,2007,8.016666
FRA,2008,7.433333
FRA,2009,9.116667
FRA,2010,9.275
FRA,2011,9.216666
FRA,2012,9.758333
FRA,2013,10.3
FRA,2014,10.275
FRA,2015,10.35
FRA,2016,10.06667
FRA,2017,9.425
FRA,2018,9.025
FRA,2019,8.433333
FRA,2020,8.033334
FRA,2021,7.925
DEU,1991,5.525
DEU,1992,6.566667
DEU,1993,7.791667
DEU,1994,8.45
DEU,1995,8.25
DEU,1996,8.941667
DEU,1997,9.675
DEU,1998,9.45
DEU,1999,8.625
DEU,2000,8.008333
DEU,2001,7.858333
DEU,2002,8.683333
DEU,2003,9.808333
DEU,2004,10.5
