LOCATION,SUBJECT,TIME,VALUE
AUS,MEN,1979,11.70244
AUS,MEN,1980,11.33123
AUS,MEN,1981,10.1551
AUS,MEN,1982,13.26102
AUS,MEN,1983,19.3786
AUS,MEN,1984,17.49021
AUS,MEN,1985,15.53721
AUS,MEN,1986,15.24372
AUS,MEN,1987,15.017
AUS,MEN,1988,13.34567
AUS,MEN,1989,10.63731
AUS,MEN,1990,13.21479
AUS,MEN,1991,18.54115
AUS,MEN,1992,20.74855
AUS,MEN,1993,19.68469
AUS,MEN,1994,17.39901
AUS,MEN,1995,15.51896
AUS,MEN,1996,16.38401
AUS,MEN,1997,16.90263
AUS,MEN,1998,15.29846
AUS,MEN,1999,13.72753
AUS,MEN,2000,12.87749
AUS,MEN,2001,14.58873
AUS,MEN,2002,13.77162
AUS,MEN,2003,12.59431
AUS,MEN,2004,11.83728
AUS,MEN,2005,10.87232
AUS,MEN,2006,10.53924
AUS,MEN,2007,9.465696
AUS,MEN,2008,9.00114
AUS,MEN,2009,12.47598
AUS,MEN,2010,11.92974
AUS,MEN,2011,11.92408
AUS,MEN,2012,12.44364
AUS,MEN,2013,13.02819
AUS,MEN,2014,14.11074
AUS,MEN,2015,14.22524
AUS,MEN,2016,13.80561
AUS,MEN,2017,13.63616
AUS,MEN,2018,12.81712
AUS,MEN,2019,12.81681
AUS,MEN,2020,15.27152
AUS,MEN,2021,12.62278
AUS,WOMEN,1979,14.49418
AUS,WOMEN,1980,13.92324
AUS,WOMEN,1981,12.90884
AUS,WOMEN,1982,14.50793
AUS,WOMEN,1983,16.99351
AUS,WOMEN,1984,15.87481
AUS,WOMEN,1985,14.66066
AUS,WOMEN,1986,14.77554
AUS,WOMEN,1987,14.78899
AUS,WOMEN,1988,13.42671
AUS,WOMEN,1989,11.69417
AUS,WOMEN,1990,12.76799
AUS,WOMEN,1991,16.26693
AUS,WOMEN,1992,17.61256
AUS,WOMEN,1993,17.20275
AUS,WOMEN,1994,16.25196
AUS,WOMEN,1995,14.81884
AUS,WOMEN,1996,14.79708
AUS,WOMEN,1997,14.63942
AUS,WOMEN,1998,13.5224
AUS,WOMEN,1999,12.42565
AUS,WOMEN,2000,11.21841
AUS,WOMEN,2001,12.2781
AUS,WOMEN,2002,11.71823
AUS,WOMEN,2003,11.26651
AUS,WOMEN,2004,10.8527
AUS,WOMEN,2005,10.32914
AUS,WOMEN,2006,9.461642
AUS,WOMEN,2007,9.240728
AUS,WOMEN,2008,8.588713
AUS,WOMEN,2009,10.34173
AUS,WOMEN,2010,11.11975
AUS,WOMEN,2011,10.76326
AUS,WOMEN,2012,10.9341
AUS,WOMEN,2013,11.34686
AUS,WOMEN,2014,12.45951
AUS,WOMEN,2015,11.91191
AUS,WOMEN,2016,11.39678
AUS,WOMEN,2017,11.47283
AUS,WOMEN,2018,10.66178
AUS,WOMEN,2019,10.58938
AUS,WOMEN,2020,13.19643
AUS,WOMEN,2021,9.841781
CAN,MEN,1976,13.09167
CAN,MEN,1977,14.58333
CAN,MEN,1978,14.75833
CAN,MEN,1979,13.06667
CAN,MEN,1980,13.43333
CAN,MEN,1981,13.83333
CAN,MEN,1982,20.68333
CAN,MEN,1983,21.9
CAN,MEN,1984,19.225
CAN,MEN,1985,17.45833
CAN,MEN,1986,16.1
CAN,MEN,1987,14.46667
CAN,MEN,1988,12.48333
CAN,MEN,1989,12.25833
CAN,MEN,1990,13.625
CAN,MEN,1991,18.55833
CAN,MEN,1992,19.73333
CAN,MEN,1993,19.7
CAN,MEN,1994,17.975
CAN,MEN,1995,16.35
CAN,MEN,1996,16.95
CAN,MEN,1997,17.19167
CAN,MEN,1998,16.6
CAN,MEN,1999,15.36667
CAN,MEN,2000,13.89167
CAN,MEN,2001,14.55833
CAN,MEN,2002,15.45833
CAN,MEN,2003,15.36667
CAN,MEN,2004,15.00833
CAN,MEN,2005,14.10833
CAN,MEN,2006,12.68333
CAN,MEN,2007,12.125
CAN,MEN,2008,12.825
CAN,MEN,2009,17.91667
CAN,MEN,2010,17.025
CAN,MEN,2011,15.84167
CAN,MEN,2012,15.80833
CAN,MEN,2013,14.99167
CAN,MEN,2014,14.725
CAN,MEN,2015,14.73333
CAN,MEN,2016,14.6
CAN,MEN,2017,13.06667
CAN,MEN,2018,12.25833
CAN,MEN,2019,12.25
CAN,MEN,2020,20.61667
CAN,MEN,2021,14.58333
CAN,WOMEN,1976,11.61667
CAN,WOMEN,1977,12.975
CAN,WOMEN,1978,13.29167
CAN,WOMEN,1979,12.4
CAN,WOMEN,1980,12.15833
CAN,WOMEN,1981,11.74167
CAN,WOMEN,1982,15.475
CAN,WOMEN,1983,16.40833
CAN,WOMEN,1984,15.43333
CAN,WOMEN,1985,14.025
CAN,WOMEN,1986,13.2
CAN,WOMEN,1987,11.95
CAN,WOMEN,1988,10.475
CAN,WOMEN,1989,9.55
CAN,WOMEN,1990,11.03333
CAN,WOMEN,1991,12.86667
CAN,WOMEN,1992,14.45833
CAN,WOMEN,1993,14.35833
CAN,WOMEN,1994,13.68333
CAN,WOMEN,1995,13.15833
CAN,WOMEN,1996,13.74167
CAN,WOMEN,1997,15.20833
CAN,WOMEN,1998,13.61667
CAN,WOMEN,1999,12.63333
CAN,WOMEN,2000,11.35
CAN,WOMEN,2001,11.06667
CAN,WOMEN,2002,11.675
CAN,WOMEN,2003,11.75833
CAN,WOMEN,2004,11.79167
CAN,WOMEN,2005,10.575
CAN,WOMEN,2006,10.15
CAN,WOMEN,2007,9.741667
CAN,WOMEN,2008,9.916667
CAN,WOMEN,2009,11.85
CAN,WOMEN,2010,12.2
CAN,WOMEN,2011,12.00833
CAN,WOMEN,2012,12.34167
CAN,WOMEN,2013,11.83333
CAN,WOMEN,2014,11.55833
CAN,WOMEN,2015,10.90833
CAN,WOMEN,2016,10.975
CAN,WOMEN,2017,9.675
CAN,WOMEN,2018,9.358334
CAN,WOMEN,2019,9.566667
CAN,WOMEN,2020,19.44167
CAN,WOMEN,2021,12.56667
DEU,MEN,2007,12.40833
DEU,MEN,2008,10.85833
DEU,MEN,2009,12.225
DEU,MEN,2010,10.64167
DEU,MEN,2011,9.216666
DEU,MEN,2012,8.691667
DEU,MEN,2013,8.466666
DEU,MEN,2014,8.341666
DEU,MEN,2015,7.916667
DEU,MEN,2016,7.866667
DEU,MEN,2017,7.6
DEU,MEN,2018,7.1
DEU,MEN,2019,6.583333
DEU,MEN,2020,7.491667
DEU,MEN,2021,7.158333
DEU,WOMEN,2007,11.01667
DEU,WOMEN,2008,9.941667
DEU,WOMEN,2009,9.758333
DEU,WOMEN,2010,8.75
DEU,WOMEN,2011,7.783333
DEU,WOMEN,2012,7.3
